"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.48","49.05","CORONACH SPC","40318MN","2012-01-01","2012","01","01","","-3.6","","-15.5","","-9.6","","27.6","","0.0","","","M","","M","0.0","","","","30","","54",""
"-105.48","49.05","CORONACH SPC","40318MN","2012-01-02","2012","01","02","","1.1","","-15.6","","-7.3","","25.3","","0.0","","","M","","M","0.6","","","","16","","39",""
"-105.48","49.05","CORONACH SPC","40318MN","2012-01-03","2012","01","03","","7.7","","-3.2","","2.3","","15.7","","0.0","","","M","","M","0.0","","","","31","","56",""
"-105.48","49.05","CORONACH SPC","40318MN","2012-01-04","2012","01","04","","11.5","","1.1","","6.3","","11.7","","0.0","","","M","","M","0.0","","","","26","","63",""
"-105.48","49.05","CORONACH SPC","40318MN","2012-01-05","2012","01","05","","11.7","","-0.1","","5.8","","12.2","","0.0","","","M","","M","0.0","","","","27","","67",""
"-105.48","49.05","CORONACH SPC","40318MN","2012-01-06","2012","01","06","","3.7","","-8.7","","-2.5","","20.5","","0.0","","","M","","M","0.0","","","","30","","56",""
"-105.48","49.05","CORONACH SPC","40318MN","2012-01-07","2012","01","07","","2.5","","-11.8","","-4.7","","22.7","","0.0","","","M","","M","0.7","","","","","","<31",""
"-105.48","49.05","CORONACH SPC","40318MN","2012-01-08","2012","01","08","","3.4","","-9.9","","-3.3","","21.3","","0.0","","","M","","M","0.6","","","","26","","46",""
"-105.48","49.05","CORONACH SPC","40318MN","2012-01-09","2012","01","09","","10.8","","-3.8","","3.5","","14.5","","0.0","","","M","","M","0.0","","","","27","","43",""
"-105.48","49.05","CORONACH SPC","40318MN","2012-01-10","2012","01","10","","5.8","","-5.9","","-0.1","","18.1","","0.0","","","M","","M","0.0","","","","32","","65",""
