"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.00","53.33","NIPAWIN","407N51G","2017-01-01","2017","01","01","","-9.5","","-22.2","","-15.9","","33.9","","0.0","","","M","","M","0.0","","6","","29","","37",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-02","2017","01","02","","-20.2","","-26.1","","-23.2","","41.2","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-03","2017","01","03","","-18.5","","-28.7","","-23.6","","41.6","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-04","2017","01","04","","-18.0","","-22.6","","-20.3","","38.3","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-05","2017","01","05","","-12.4","","-18.2","","-15.3","","33.3","","0.0","","","M","","M","0.2","","7","","1","","32",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-06","2017","01","06","","-14.6","","-21.8","","-18.2","","36.2","","0.0","","","M","","M","0.0","","7","","31","","35",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-07","2017","01","07","","-15.1","","-24.6","","-19.9","","37.9","","0.0","","","M","","M","0.2","","7","","","","<31",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-08","2017","01","08","","-14.5","","-29.8","","-22.2","","40.2","","0.0","","","M","","M","0.0","","7","","1","","41",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-09","2017","01","09","","-19.0","","-32.3","","-25.7","","43.7","","0.0","","","M","","M","1.7","","7","","","","<31",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-10","2017","01","10","","-18.7","","-28.0","","-23.4","","41.4","","0.0","","","M","","M","0.2","","9","","","","<31",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-11","2017","01","11","","-20.4","","-36.9","","-28.7","","46.7","","0.0","","","M","","M","0.4","","9","","35","","56",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-12","2017","01","12","","-24.8","","-33.6","","-29.2","","47.2","","0.0","","","M","","M","0.2","","6","","34","","50",""
"-104.00","53.33","NIPAWIN","407N51G","2017-01-13","2017","01","13","","-16.9","","-32.0","","-24.5","","42.5","","0.0","","","M","","M","0.0","","6","","19","","32",""
