"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-01","2019","01","01","","0.9","","-16.6","","-7.9","","25.9","","0.0","","","","","","1.0","","23","","28","","50",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-02","2019","01","02","","5.5","","-2.5","","1.5","","16.5","","0.0","","","","","","0.0","","22","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-03","2019","01","03","","3.3","","-5.0","","-0.9","","18.9","","0.0","","","","","","0.5","","20","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-04","2019","01","04","","-1.1","","-8.2","","-4.7","","22.7","","0.0","","","","","","5.2","","20","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-05","2019","01","05","","-3.8","","-9.2","","-6.5","","24.5","","0.0","","","","","","0.2","","27","","14","","40",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-06","2019","01","06","","-3.0","","-5.9","","-4.4","","22.4","","0.0","","","","","","0.0","","21","","14","","37",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-07","2019","01","07","","-5.8","","-18.5","","-12.2","","30.2","","0.0","","","","","","0.0","","21","","30","","50",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-08","2019","01","08","","-17.4","","-25.7","","-21.6","","39.6","","0.0","","","","","","1.2","","21","","29","","43",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-09","2019","01","09","","-12.9","","-17.4","","-15.1","","33.1","","0.0","","","","","","0.2","","21","","12","","32",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-10","2019","01","10","","-13.2","","-22.5","","-17.9","","35.9","","0.0","","","","","","0.4","","20","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-11","2019","01","11","","-8.1","","-21.4","","-14.7","","32.7","","0.0","","","","","","0.0","","21","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-12","2019","01","12","","-6.6","","-15.0","","-10.8","","28.8","","0.0","","","","","","0.0","","21","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-13","2019","01","13","","-4.8","","-15.7","","-10.3","","28.3","","0.0","","","","","","0.0","","21","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-14","2019","01","14","","1.7","","-15.2","","-6.7","","24.7","","0.0","","","","","","0.0","","31","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-15","2019","01","15","","-4.5","","-15.3","","-9.9","","27.9","","0.0","","","","","","0.0","","21","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-16","2019","01","16","","-14.5","","-17.0","","-15.7","","33.7","","0.0","","","","","","0.2","","31","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-17","2019","01","17","","-16.4","","-30.2","","-23.3","","41.3","","0.0","","","","","","4.9","","21","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-18","2019","01","18","","-17.2","","-19.2","","-18.2","","36.2","","0.0","","","","","","0.2","","22","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-19","2019","01","19","","-14.5","","-17.8","","-16.1","","34.1","","0.0","","","","","","2.9","","23","","12","","38",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-20","2019","01","20","","-4.7","","-15.8","","-10.2","","28.2","","0.0","","","","","","0.2","","24","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-21","2019","01","21","","-1.5","","-15.7","","-8.6","","26.6","","0.0","","","","","","0.2","","24","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-22","2019","01","22","","-1.0","","-15.9","","-8.5","","26.5","","0.0","","","","","","0.8","","32","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-23","2019","01","23","","-2.1","","-25.7","","-13.9","","31.9","","0.0","","","","","","1.1","","22","","35","","47",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-24","2019","01","24","","-0.9","","-29.6","","-15.2","","33.2","","0.0","","","","","","2.8","","21","","29","","42",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-25","2019","01","25","","2.2","","-10.2","","-4.0","","22.0","","0.0","","","","","","0.0","","21","","32","","45",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-26","2019","01","26","","4.9","","-1.8","","1.5","","16.5","","0.0","","","","","","0.0","","21","","28","","40",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-27","2019","01","27","","6.2","","-7.3","","-0.6","","18.6","","0.0","","","","","","0.0","","20","","29","","69",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-28","2019","01","28","","-7.3","","-23.1","","-15.2","","33.2","","0.0","","","","","","0.0","","29","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-29","2019","01","29","","-14.1","","-23.0","","-18.6","","36.6","","0.0","","","","","","0.9","","29","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-30","2019","01","30","","-6.6","","-15.8","","-11.2","","29.2","","0.0","","","","","","3.4","","29","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-01-31","2019","01","31","","2.4","","-11.9","","-4.7","","22.7","","0.0","","","","","","0.0","","19","","1","","37",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-02-01","2019","02","01","","-11.9","","-21.5","","-16.7","","34.7","","0.0","","","","","","4.8","","25","","2","","37",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-02-02","2019","02","02","","-21.5","","-30.5","","-26.0","","44.0","","0.0","","","","","","0.9","","25","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-02-03","2019","02","03","","-27.4","","-30.9","","-29.2","","47.2","","0.0","","","","","","0.4","","25","","31","","31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-02-04","2019","02","04","","-24.8","","-32.6","","-28.7","","46.7","","0.0","","","","","","","M","27","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-02-05","2019","02","05","","-27.7","","-44.6","","-36.2","","54.2","","0.0","","","","","","0.0","","27","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-02-06","2019","02","06","","-24.6","","-37.2","","-30.9","","48.9","","0.0","","","","","","0.0","","26","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-02-07","2019","02","07","","-22.2","","-37.9","","-30.1","","48.1","","0.0","","","","","","0.0","","27","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-02-08","2019","02","08","","-22.4","","-31.2","","-26.8","","44.8","","0.0","","","","","","","M","26","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-02-09","2019","02","09","","-24.4","","-36.2","","-30.3","","48.3","","0.0","","","","","","0.0","","25","","","","",""
"-112.10","53.51","VEGREVILLE","3016GF0","2019-02-10","2019","02","10","","-22.1","","-35.8","","-28.9","","46.9","","0.0","","","","","","","M","25","","","","",""
