"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-01","2024","01","01","","1.9","","-10.6","","-4.4","","22.4","","0.0","","","","","","0.0","","5","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-02","2024","01","02","","-0.9","","-14.3","","-7.6","","25.6","","0.0","","","","","","0.0","","5","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-03","2024","01","03","","-1.0","","-14.6","","-7.8","","25.8","","0.0","","","","","","0.0","","5","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-04","2024","01","04","","5.0","","-7.5","","-1.2","","19.2","","0.0","","","","","","0.8","","5","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-05","2024","01","05","","","M","","M","","M","","M","","M","","","","","","M","8","","","M","","M"
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-06","2024","01","06","","-2.0","","-9.2","","-5.6","","23.6","","0.0","","","","","","1.0","","7","","3","","36",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-07","2024","01","07","","-9.2","","-15.8","","-12.5","","30.5","","0.0","","","","","","0.0","","9","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-08","2024","01","08","","-6.4","","-18.3","","-12.4","","30.4","","0.0","","","","","","0.0","","9","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-09","2024","01","09","","-3.3","","-15.4","","-9.4","","27.4","","0.0","","","","","","6.8","","12","","1","","44",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-10","2024","01","10","","-15.4","","-26.1","","-20.7","","38.7","","0.0","","","","","","0.2","","15","","2","","43",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-11","2024","01","11","","-25.7","","-32.3","","-29.0","","47.0","","0.0","","","","","","0.2","","13","","5","","47",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-12","2024","01","12","","-27.9","","-41.6","","-34.8","","52.8","","0.0","","","","","","0.2","","13","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-13","2024","01","13","","-21.7","","-40.1","","-30.9","","48.9","","0.0","","","","","","0.0","","13","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-14","2024","01","14","","-23.3","","-41.5","","-32.4","","50.4","","0.0","","","","","","0.0","","13","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-15","2024","01","15","","-14.7","","-36.1","","-25.4","","43.4","","0.0","","","","","","0.0","","13","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-16","2024","01","16","","-10.4","","-18.4","","-14.4","","32.4","","0.0","","","","","","5.6","","13","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-17","2024","01","17","","-11.5","","-16.6","","-14.0","","32.0","","0.0","","","","","","0.0","","19","","3","","50",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-18","2024","01","18","","-15.4","","-30.8","","-23.1","","41.1","","0.0","","","","","","0.2","","17","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-19","2024","01","19","","-7.1","","-31.1","","-19.1","","37.1","","0.0","","","","","","1.6","","17","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-20","2024","01","20","","-1.0","","-7.1","","-4.1","","22.1","","0.0","","","","","","1.6","","17","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-21","2024","01","21","","-3.1","","-10.2","","-6.7","","24.7","","0.0","","","","","","3.8","","19","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-22","2024","01","22","","-4.3","","-15.5","","-9.9","","27.9","","0.0","","","","","","0.0","","22","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-23","2024","01","23","","5.1","","-8.0","","-1.4","","19.4","","0.0","","","","","","0.0","","21","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-24","2024","01","24","","6.2","","-5.9","","0.1","","17.9","","0.0","","","","","","0.0","","21","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-25","2024","01","25","","7.3","","-2.6","","2.3","","15.7","","0.0","","","","","","0.0","","21","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-26","2024","01","26","","8.5","","-1.7","","3.4","","14.6","","0.0","","","","","","0.0","","20","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-27","2024","01","27","","9.5","","-1.2","","4.1","","13.9","","0.0","","","","","","0.0","","18","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-28","2024","01","28","","10.1","","-1.5","","4.3","","13.7","","0.0","","","","","","0.2","","16","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-29","2024","01","29","","13.1","","-2.3","","5.4","","12.6","","0.0","","","","","","0.0","","15","","17","","31",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-30","2024","01","30","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-118.03","52.93","JASPER WARDEN","3053536","2024-01-31","2024","01","31","","8.6","","-5.3","","1.7","","16.3","","0.0","","","","","","0.0","","8","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-02-01","2024","02","01","","11.1","","1.7","","6.4","","11.6","","0.0","","","","","","0.0","","7","","","","",""
"-118.03","52.93","JASPER WARDEN","3053536","2024-02-02","2024","02","02","","8.8","","0.4","","4.6","","13.4","","0.0","","","","","","0.0","","5","","","","",""
