"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-01","2020","01","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-02","2020","01","02","†","","","","","","","","","","","26.4","","0.0","","26.4","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-03","2020","01","03","†","","","","","","","","","","","9.0","","0.0","","9.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-04","2020","01","04","†","","","","","","","","","","","6.0","","0.0","","6.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-05","2020","01","05","†","","","","","","","","","","","4.4","","0.0","","4.4","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-06","2020","01","06","†","","","","","","","","","","","21.6","","0.0","","21.6","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-07","2020","01","07","†","","","","","","","","","","","6.0","","0.0","","6.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-08","2020","01","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-09","2020","01","09","†","","","","","","","","","","","9.4","","0.0","","9.4","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-10","2020","01","10","†","","","","","","","","","","","16.0","","0.0","","16.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-11","2020","01","11","†","","","","","","","","","","","6.6","","0.0","","6.6","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-12","2020","01","12","†","","","","","","","","","","","5.2","","3.0","","8.2","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-13","2020","01","13","†","","","","","","","","","","","0.0","","3.0","","3.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-14","2020","01","14","†","","","","","","","","","","","0.0","","27.0","","27.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-15","2020","01","15","†","","","","","","","","","","","0.0","","2.0","","2.0","","30","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-16","2020","01","16","†","","","","","","","","","","","9.2","","0.0","","9.2","","30","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-17","2020","01","17","†","","","","","","","","","","","3.2","","0.0","","3.2","","10","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-18","2020","01","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-19","2020","01","19","†","","","","","","","","","","","2.8","","0.0","","2.8","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-20","2020","01","20","†","","","","","","","","","","","1.2","","0.0","","1.2","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-21","2020","01","21","†","","","","","","","","","","","16.0","","0.0","","16.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-22","2020","01","22","†","","","","","","","","","","","35.2","","0.0","","35.2","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-23","2020","01","23","†","","","","","","","","","","","5.6","","0.0","","5.6","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-24","2020","01","24","†","","","","","","","","","","","8.0","","0.0","","8.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-25","2020","01","25","†","","","","","","","","","","","2.0","","0.0","","2.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-26","2020","01","26","†","","","","","","","","","","","1.2","","0.0","","1.2","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-27","2020","01","27","†","","","","","","","","","","","19.8","","0.0","","19.8","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-28","2020","01","28","†","","","","","","","","","","","9.0","","0.0","","9.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-29","2020","01","29","†","","","","","","","","","","","5.8","","0.0","","5.8","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-30","2020","01","30","†","","","","","","","","","","","17.6","","0.0","","17.6","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-01-31","2020","01","31","†","","","","","","","","","","","52.4","","0.0","","52.4","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-01","2020","02","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-02","2020","02","02","†","","","","","","","","","","","6.0","","0.0","","6.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-03","2020","02","03","†","","","","","","","","","","","10.6","","0.0","","10.6","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-04","2020","02","04","†","","","","","","","","","","","33.2","","0.0","","33.2","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-05","2020","02","05","†","","","","","","","","","","","2.2","","0.0","","2.2","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-06","2020","02","06","†","","","","","","","","","","","15.0","","0.0","","15.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-07","2020","02","07","†","","","","","","","","","","","14.6","","0.0","","14.6","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-08","2020","02","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-09","2020","02","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-10","2020","02","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-11","2020","02","11","†","","","","","","","","","","","0.8","","0.0","","0.8","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-12","2020","02","12","†","","","","","","","","","","","0.8","","0.0","","0.8","","0","","","","",""
"-123.43","48.60","SAANICHTON MT NEWTON","1016RM0","2020-02-13","2020","02","13","†","","","","","","","","","","","0.8","","0.0","","0.8","","0","","","","",""
