"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-01","2018","01","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-02","2018","01","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-03","2018","01","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-04","2018","01","04","†","","","","","","","","","","","5.2","","0.0","","5.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-05","2018","01","05","†","","","","","","","","","","","2.2","","0.0","","2.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-06","2018","01","06","†","","","","","","","","","","","4.2","","0.0","","4.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-07","2018","01","07","†","","","","","","","","","","","12.8","","0.0","","12.8","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-08","2018","01","08","†","","","","","","","","","","","6.2","","0.0","","6.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-09","2018","01","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-10","2018","01","10","†","","","","","","","","","","","8.4","","0.0","","8.4","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-11","2018","01","11","†","","","","","","","","","","","20.8","","0.0","","20.8","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-12","2018","01","12","†","","","","","","","","","","","3.9","","0.0","","3.9","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-13","2018","01","13","†","","","","","","","","","","","2.0","","0.0","","2.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-14","2018","01","14","†","","","","","","","","","","","0.4","","0.0","","0.4","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-15","2018","01","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-16","2018","01","16","†","","","","","","","","","","","10.2","","0.0","","10.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-17","2018","01","17","†","","","","","","","","","","","30.7","","0.0","","30.7","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-18","2018","01","18","†","","","","","","","","","","","14.5","","0.0","","14.5","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-19","2018","01","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-20","2018","01","20","†","","","","","","","","","","","46.2","","0.0","","46.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-21","2018","01","21","†","","","","","","","","","","","14.2","","0.0","","14.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-22","2018","01","22","†","","","","","","","","","","","2.8","","0.0","","2.8","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-23","2018","01","23","†","","","","","","","","","","","22.2","","0.0","","22.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-24","2018","01","24","†","","","","","","","","","","","8.4","","0.0","","8.4","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-25","2018","01","25","†","","","","","","","","","","","5.2","","0.0","","5.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-26","2018","01","26","†","","","","","","","","","","","23.8","","0.0","","23.8","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-27","2018","01","27","†","","","","","","","","","","","6.9","","0.0","","6.9","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-28","2018","01","28","†","","","","","","","","","","","77.4","","0.0","","77.4","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-29","2018","01","29","†","","","","","","","","","","","3.0","","0.0","","3.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-30","2018","01","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-01-31","2018","01","31","†","","","","","","","","","","","0.2","","0.0","","0.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-01","2018","02","01","†","","","","","","","","","","","11.4","","0.0","","11.4","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-02","2018","02","02","†","","","","","","","","","","","1.4","","0.0","","1.4","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-03","2018","02","03","†","","","","","","","","","","","9.8","","0.0","","9.8","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-04","2018","02","04","†","","","","","","","","","","","1.0","","0.0","","1.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-05","2018","02","05","†","","","","","","","","","","","0.4","","0.0","","0.4","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-06","2018","02","06","†","","","","","","","","","","","2.4","","0.0","","2.4","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-07","2018","02","07","†","","","","","","","","","","","0.2","","0.0","","0.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-08","2018","02","08","†","","","","","","","","","","","0.2","","0.0","","0.2","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-09","2018","02","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-10","2018","02","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-11","2018","02","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.99","49.20","NANAIMO CITY YARD","10253G0","2018-02-12","2018","02","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
