"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-01","2024","01","01","","6.2","","3.2","","4.7","","13.3","","0.0","","","","","","0.0","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-02","2024","01","02","","6.3","","3.1","","4.7","","13.3","","0.0","","","","","","6.7","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-03","2024","01","03","","7.0","","4.2","","5.6","","12.4","","0.0","","","","","","3.0","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-04","2024","01","04","","9.1","","2.8","","6.0","","12.0","","0.0","","","","","","1.4","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-05","2024","01","05","","4.7","","0.9","","2.8","","15.2","","0.0","","","","","","33.9","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-06","2024","01","06","","2.6","","1.0","","1.8","","16.2","","0.0","","","","","","2.4","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-07","2024","01","07","","1.3","","-0.5","","0.4","","17.6","","0.0","","","","","","0.0","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-08","2024","01","08","","1.1","","-0.1","","0.5","","17.5","","0.0","","","","","","38.3","","","","","M","","M"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-09","2024","01","09","","4.1","","-0.5","","1.8","","16.2","","0.0","","","","","","13.9","","5","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-10","2024","01","10","","2.1","","-1.6","","0.3","","17.7","","0.0","","","","","","0.0","","4","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-11","2024","01","11","","2.1","","-5.9","","-1.9","","19.9","","0.0","","","","","","0.0","","0","","28","","38",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-12","2024","01","12","","-4.7","","-12.1","","-8.4","","26.4","","0.0","","","","","","0.0","","1","","9","","32",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-13","2024","01","13","","-2.4","","-13.6","","-8.0","","26.0","","0.0","","","","","","0.0","","1","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-14","2024","01","14","","-0.1","","-11.7","","-5.9","","23.9","","0.0","","","","","","0.0","","1","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-15","2024","01","15","","1.7","","-10.4","","-4.4","","22.4","","0.0","","","","","","0.0","","2","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-16","2024","01","16","","0.3","","-8.0","","-3.8","","21.8","","0.0","","","","","","0.0","","2","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-17","2024","01","17","","1.9","","-1.7","","0.1","","17.9","","0.0","","","","","","12.9","","8","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-18","2024","01","18","","1.2","","-3.1","","-0.9","","18.9","","0.0","","","","","","10.9","","15","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-19","2024","01","19","","1.7","","-0.1","","0.8","","17.2","","0.0","","","","","","26.4","","28","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-20","2024","01","20","","2.7","","-0.2","","1.3","","16.7","","0.0","","","","","","0.2","","19","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-21","2024","01","21","","3.9","","0.1","","2.0","","16.0","","0.0","","","","","","7.5","","12","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-22","2024","01","22","","","M","","M","","M","","M","","M","","","","","","M","9","","","M","","M"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-23","2024","01","23","","","M","","M","","M","","M","","M","","","","","","M","6","","","M","","M"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-24","2024","01","24","","4.5","","1.2","","2.9","","15.1","","0.0","","","","","","22.1","","3","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-25","2024","01","25","","6.1","","1.4","","3.7","","14.3","","0.0","","","","","","4.0","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-26","2024","01","26","","5.8","","2.3","","4.0","","14.0","","0.0","","","","","","14.5","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-27","2024","01","27","","6.7","","3.5","","5.1","","12.9","","0.0","","","","","","19.5","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-28","2024","01","28","","12.2","","4.5","","8.4","","9.6","","0.0","","","","","","23.7","","","","10","","31",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-29","2024","01","29","","12.8","","8.8","","10.8","","7.2","","0.0","","","","","","76.9","","0","","15","","40",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-30","2024","01","30","","11.6","","4.1","","7.9","","10.1","","0.0","","","","","","4.3","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-01-31","2024","01","31","","12.8","","7.5","","10.1","","7.9","","0.0","","","","","","23.7","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-01","2024","02","01","","11.0","","7.7","","9.4","","8.6","","0.0","","","","","","6.6","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-02","2024","02","02","","9.7","","3.9","","6.8","","11.2","","0.0","","","","","","2.9","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-03","2024","02","03","","7.2","","2.7","","4.9","","13.1","","0.0","","","","","","0.1","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-04","2024","02","04","","8.6","","-0.8","","3.9","","14.1","","0.0","","","","","","0.0","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-05","2024","02","05","","5.4","","-1.2","","2.1","","15.9","","0.0","","","","","","0.0","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-06","2024","02","06","","1.9","","-1.1","","0.4","","17.6","","0.0","","","","","","0.1","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-07","2024","02","07","","6.1","","0.7","","3.4","","14.6","","0.0","","","","","","0.2","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-08","2024","02","08","","6.2","","1.6","","3.9","","14.1","","0.0","","","","","","0.0","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-09","2024","02","09","","7.9","","-0.4","","3.8","","14.2","","0.0","","","","","","0.0","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-10","2024","02","10","","6.0","","2.6","","4.3","","13.7","","0.0","","","","","","2.7","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-11","2024","02","11","","6.4","","4.0","","5.2","","12.8","","0.0","","","","","","18.3","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-12","2024","02","12","","10.8","","0.3","","5.6","","12.4","","0.0","","","","","","9.2","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-13","2024","02","13","","8.0","","-1.7","","3.1","","14.9","","0.0","","","","","","0.1","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-14","2024","02","14","","8.2","","-2.1","","3.1","","14.9","","0.0","","","","","","0.0","","","","9","","37",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-15","2024","02","15","","8.7","","-2.2","","3.2","","14.8","","0.0","","","","","","0.0","","","","3","","32",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-16","2024","02","16","","9.5","","-4.0","","2.7","","15.3","","0.0","","","","","","0.0","","","","11","","49",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-17","2024","02","17","","8.6","","1.7","","5.1","","12.9","","0.0","","","","","","0.1","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-18","2024","02","18","","8.3","","3.3","","5.8","","12.2","","0.0","","","","","","2.7","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-19","2024","02","19","","11.3","","0.2","","5.7","","12.3","","0.0","","","","","","0.0","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-20","2024","02","20","","8.4","","4.7","","6.6","","11.4","","0.0","","","","","","4.7","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-21","2024","02","21","","10.0","","5.1","","7.5","","10.5","","0.0","","","","","","2.3","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-22","2024","02","22","","11.9","","4.8","","8.3","","9.7","","0.0","","","","","","0.8","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-23","2024","02","23","","11.5","","6.2","","8.9","","9.1","","0.0","","","","","","0.0","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-24","2024","02","24","","12.0","","4.2","","8.1","","9.9","","0.0","","","","","","0.0","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-25","2024","02","25","","10.0","","-1.7","","4.2","","13.8","","0.0","","","","","","0.5","","","","29","","42",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-26","2024","02","26","","6.8","","-4.8","","1.0","","17.0","","0.0","","","","","","0.0","","","","2","","39",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-27","2024","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-28","2024","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-02-29","2024","02","29","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-01","2024","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-02","2024","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-03","2024","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-04","2024","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-05","2024","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-06","2024","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-07","2024","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-08","2024","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-09","2024","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-10","2024","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-11","2024","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-12","2024","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-13","2024","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-14","2024","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-15","2024","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-16","2024","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-17","2024","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-18","2024","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2024-03-19","2024","03","19","","","","","","","","","","","","","","","","","","","","","","",""
