"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-01","2022","01","01","†","","","","","","","","","","","0.0","","17.0","","17.0","","34","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-02","2022","01","02","†","","","","","","","","","","","19.0","","0.0","","19.0","","45","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-03","2022","01","03","†","","","","","","","","","","","4.2","","3.0","","7.2","","29","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-04","2022","01","04","†","","","","","","","","","","","1.2","","6.0","","7.2","","26","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-05","2022","01","05","†","","","","","","","","","","","0.0","","10.0","","10.0","","30","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-06","2022","01","06","†","","","","","","","","","","","28.0","","0.0","","28.0","","37","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-07","2022","01","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","27","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-08","2022","01","08","†","","","","","","","","","","","4.2","","9.0","","13.2","","27","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-09","2022","01","09","†","","","","","","","","","","","3.8","","0.0","","3.8","","35","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-10","2022","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-11","2022","01","11","†","","","","","","","","","","","42.2","","0.0","","42.2","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-12","2022","01","12","†","","","","","","","","","","","16.8","","0.0","","16.8","","13","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-13","2022","01","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-14","2022","01","14","†","","","","","","","","","","","0.0","T","0.0","","0.0","T","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-15","2022","01","15","†","","","","","","","","","","","0.0","T","0.0","","0.0","T","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-16","2022","01","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-17","2022","01","17","†","","","","","","","","","","","1.0","","0.0","","1.0","","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-18","2022","01","18","†","","","","","","","","","","","3.2","","0.0","","3.2","","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-19","2022","01","19","†","","","","","","","","","","","27.0","","0.0","","27.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-20","2022","01","20","†","","","","","","","","","","","","","","","","","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-21","2022","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-22","2022","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-23","2022","01","23","†","","","","","","","","","","","0.0","T","0.0","","0.0","T","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-24","2022","01","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-25","2022","01","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-26","2022","01","26","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-27","2022","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-28","2022","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-29","2022","01","29","†","","","","","","","","","","","13.2","","0.0","","13.2","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-30","2022","01","30","†","","","","","","","","","","","12.0","","0.0","","12.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-01-31","2022","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-01","2022","02","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-02","2022","02","02","†","","","","","","","","","","","4.8","","0.0","T","4.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-03","2022","02","03","†","","","","","","","","","","","13.4","","0.0","","13.4","","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-04","2022","02","04","†","","","","","","","","","","","3.8","","0.0","","3.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-05","2022","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-06","2022","02","06","†","","","","","","","","","","","","","","","","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-07","2022","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-08","2022","02","08","†","","","","","","","","","","","10.6","","0.0","","10.6","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-09","2022","02","09","†","","","","","","","","","","","5.2","","0.0","","5.2","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-10","2022","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-11","2022","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-12","2022","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-13","2022","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-14","2022","02","14","†","","","","","","","","","","","0.8","","0.0","","0.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-15","2022","02","15","†","","","","","","","","","","","","","","","","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-16","2022","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-17","2022","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-18","2022","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-19","2022","02","19","†","","","","","","","","","","","11.0","","0.0","","11.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-20","2022","02","20","†","","","","","","","","","","","","","","","","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-21","2022","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-22","2022","02","22","†","","","","","","","","","","","","","","","","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-23","2022","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-24","2022","02","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-25","2022","02","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-26","2022","02","26","†","","","","","","","","","","","36.8","","0.0","","36.8","","0","T","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-27","2022","02","27","†","","","","","","","","","","","18.8","","0.0","","18.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-02-28","2022","02","28","†","","","","","","","","","","","6.2","","0.0","","6.2","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-01","2022","03","01","†","","","","","","","","","","","11.8","","0.0","","11.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-02","2022","03","02","†","","","","","","","","","","","6.8","","0.0","","6.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-03","2022","03","03","†","","","","","","","","","","","4.0","","0.0","","4.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-04","2022","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-05","2022","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-06","2022","03","06","†","","","","","","","","","","","","","","","","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-07","2022","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-08","2022","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-09","2022","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-10","2022","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-11","2022","03","11","†","","","","","","","","","","","20.6","","0.0","","20.6","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-12","2022","03","12","†","","","","","","","","","","","2.8","","0.0","","2.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-13","2022","03","13","†","","","","","","","","","","","26.6","","0.0","","26.6","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-14","2022","03","14","†","","","","","","","","","","","50.2","","0.0","","50.2","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-15","2022","03","15","†","","","","","","","","","","","2.8","","0.0","","2.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-16","2022","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-17","2022","03","17","†","","","","","","","","","","","15.8","","0.0","","15.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-18","2022","03","18","†","","","","","","","","","","","9.2","","0.0","","9.2","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-19","2022","03","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-20","2022","03","20","†","","","","","","","","","","","25.0","","0.0","","25.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-21","2022","03","21","†","","","","","","","","","","","15.4","","0.0","","15.4","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-22","2022","03","22","†","","","","","","","","","","","6.2","","0.0","","6.2","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-23","2022","03","23","†","","","","","","","","","","","2.0","","0.0","","2.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-24","2022","03","24","†","","","","","","","","","","","","","","","","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-25","2022","03","25","†","","","","","","","","","","","9.2","","0.0","","9.2","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-26","2022","03","26","†","","","","","","","","","","","2.8","","0.0","","2.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-27","2022","03","27","†","","","","","","","","","","","3.4","","0.0","","3.4","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-28","2022","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-29","2022","03","29","†","","","","","","","","","","","3.2","","0.0","","3.2","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-30","2022","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-03-31","2022","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-04-01","2022","04","01","†","","","","","","","","","","","6.0","","0.0","","6.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-04-02","2022","04","02","†","","","","","","","","","","","4.2","","0.0","","4.2","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-04-03","2022","04","03","†","","","","","","","","","","","23.6","","0.0","","23.6","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-04-04","2022","04","04","†","","","","","","","","","","","4.0","","0.0","","4.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-04-05","2022","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-04-06","2022","04","06","†","","","","","","","","","","","","","","","","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2022-04-07","2022","04","07","†","","","","","","","","","","","5.4","","0.0","","5.4","","","","","","",""
