"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2019-01-01","2019","01","01","","4.3","","2.9","","3.6","","14.4","","0.0","","","","","","0.0","","","","35","","42",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2019-01-02","2019","01","02","","4.5","","1.1","","2.8","","15.2","","0.0","","","","","","24.2","","","","","","",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2019-01-03","2019","01","03","","6.8","","1.2","","4.0","","14.0","","0.0","","","","","","60.8","","","","35","","42",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2019-01-04","2019","01","04","","10.7","","5.2","","8.0","","10.0","","0.0","","","","","","7.8","","","","13","","66",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2019-01-05","2019","01","05","","9.2","","5.7","","7.5","","10.5","","0.0","","","","","","2.2","","","","35","","81",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2019-01-06","2019","01","06","","8.1","","4.1","","6.1","","11.9","","0.0","","","","","","10.2","","","","19","","54",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2019-01-07","2019","01","07","","4.8","","2.0","","3.4","","14.6","","0.0","","","","","","4.0","","","","35","","58",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2019-01-08","2019","01","08","","4.5","","1.7","","3.1","","14.9","","0.0","","","","","","1.8","","","","34","","100",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2019-01-09","2019","01","09","","7.0","","2.4","","4.7","","13.3","","0.0","","","","","","6.4","","","","35","","92",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2019-01-10","2019","01","10","","8.2","","5.1","","6.7","","11.3","","0.0","","","","","","3.6","","","","35","","38",""
