"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-01","2023","01","01","","4.6","","-0.6","","2.0","","16.0","","0.0","","","","","","0.0","","6","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-02","2023","01","02","","2.8","","-1.5","","0.7","","17.3","","0.0","","","","","","0.0","","6","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-03","2023","01","03","","2.3","","-1.9","","0.2","","17.8","","0.0","","","","","","0.1","","6","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-04","2023","01","04","","5.7","","-0.5","","2.6","","15.4","","0.0","","","","","","0.0","","6","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-05","2023","01","05","","5.5","","0.8","","3.1","","14.9","","0.0","","","","","","16.9","","6","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-06","2023","01","06","","8.0","","1.6","","4.8","","13.2","","0.0","","","","","","12.3","","4","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-07","2023","01","07","","4.4","","1.8","","3.1","","14.9","","0.0","","","","","","9.9","","2","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-08","2023","01","08","","3.9","","1.9","","2.9","","15.1","","0.0","","","","","","15.4","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-09","2023","01","09","","4.6","","1.1","","2.9","","15.1","","0.0","","","","","","11.3","","","","32","","31",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-10","2023","01","10","","5.9","","1.5","","3.7","","14.3","","0.0","","","","","","2.9","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-11","2023","01","11","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-12","2023","01","12","","4.0","","2.7","","3.3","","14.7","","0.0","","","","","","67.8","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-13","2023","01","13","","5.1","","3.6","","4.4","","13.6","","0.0","","","","","","46.7","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-14","2023","01","14","","7.8","","3.1","","5.5","","12.5","","0.0","","","","","","12.9","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-15","2023","01","15","","7.5","","3.2","","5.4","","12.6","","0.0","","","","","","1.9","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-16","2023","01","16","","5.8","","3.8","","4.8","","13.2","","0.0","","","","","","13.8","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-17","2023","01","17","","7.3","","3.3","","5.3","","12.7","","0.0","","","","","","6.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-18","2023","01","18","","6.4","","3.4","","4.9","","13.1","","0.0","","","","","","15.4","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-19","2023","01","19","","5.5","","0.4","","2.9","","15.1","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-20","2023","01","20","","6.2","","-0.9","","2.7","","15.3","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-21","2023","01","21","","1.0","","-2.2","","-0.6","","18.6","","0.0","","","","","","6.8","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-22","2023","01","22","","5.3","","0.4","","2.9","","15.1","","0.0","","","","","","0.2","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-23","2023","01","23","","5.8","","1.4","","3.6","","14.4","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-24","2023","01","24","","5.6","","2.8","","4.2","","13.8","","0.0","","","","","","0.4","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-25","2023","01","25","","6.8","","1.6","","4.2","","13.8","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-26","2023","01","26","","4.4","","2.3","","3.3","","14.7","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-27","2023","01","27","","9.0","","0.4","","4.7","","13.3","","0.0","","","","","","0.9","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-28","2023","01","28","","8.1","","-1.9","","3.1","","14.9","","0.0","","","","","","0.0","","","","31","","63",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-29","2023","01","29","","4.1","","-4.3","","-0.1","","18.1","","0.0","","","","","","0.0","","","","33","","57",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-30","2023","01","30","","1.4","","-7.5","","-3.0","","21.0","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-01-31","2023","01","31","","0.1","","-3.8","","-1.9","","19.9","","0.0","","","","","","0.1","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-02-01","2023","02","01","","1.7","","-1.2","","0.3","","17.7","","0.0","","","","","","3.8","","2","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2023-02-02","2023","02","02","","4.4","","-1.2","","1.6","","16.4","","0.0","","","","","","0.0","","1","","","","",""
