"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2022-01-01","2022","01","01","","7.0","","1.9","","4.4","","13.6","","0.0","","","","","","8.0","","","","17","","97",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2022-01-02","2022","01","02","","6.0","","0.0","","3.0","","15.0","","0.0","","","","","","","M","","","17","","79",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2022-01-03","2022","01","03","","2.0","","-6.1","","-2.1","","20.1","","0.0","","","","","","","M","","","9","","41",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2022-01-04","2022","01","04","","-4.5","","-6.7","","-5.6","","23.6","","0.0","","","","","","","","","","6","","33",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2022-01-05","2022","01","05","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2022-01-06","2022","01","06","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2022-01-07","2022","01","07","","0.4","","-3.7","","-1.6","","19.6","","0.0","","","","","","","","","","36","","60",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2022-01-08","2022","01","08","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2022-01-09","2022","01","09","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2022-01-10","2022","01","10","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2022-01-11","2022","01","11","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
