"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-01","2019","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-02","2019","01","02","†","3.5","","3.0","","3.3","","14.7","","0.0","","5.2","","0.0","","5.2","","20","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-03","2019","01","03","†","1.0","","0.0","","0.5","","17.5","","0.0","","0.0","","13.0","","13.0","","19","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-04","2019","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-05","2019","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-06","2019","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-07","2019","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-08","2019","01","08","†","-2.0","","-7.0","","-4.5","","22.5","","0.0","","0.0","","22.0","","22.0","","61","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-09","2019","01","09","†","-1.5","","-4.5","","-3.0","","21.0","","0.0","","0.0","","15.0","","15.0","","78","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-10","2019","01","10","†","0.5","","-6.0","","-2.8","","20.8","","0.0","","60.0","","5.0","","65.0","","88","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-11","2019","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-12","2019","01","12","†","","","","","","","","","","","","","","","","","68","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-13","2019","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-14","2019","01","14","†","4.0","","0.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-15","2019","01","15","†","5.0","","-1.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-16","2019","01","16","†","5.0","","-4.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-17","2019","01","17","†","3.5","","-1.5","","1.0","","17.0","","0.0","","0.0","","1.4","","1.4","","55","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-18","2019","01","18","†","0.5","","-0.5","","0.0","","18.0","","0.0","","0.0","","8.0","","8.0","","56","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-19","2019","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-20","2019","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-21","2019","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-22","2019","01","22","†","3.0","","0.0","","1.5","","16.5","","0.0","","5.2","","0.0","","5.2","","57","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-23","2019","01","23","†","5.0","","1.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-24","2019","01","24","†","4.0","","1.0","","2.5","","15.5","","0.0","","3.0","","0.0","","3.0","","50","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-25","2019","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-26","2019","01","26","†","","","","","","","","","","","","","","","","","40","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-27","2019","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-28","2019","01","28","†","6.0","","0.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-29","2019","01","29","†","3.0","","-2.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-30","2019","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-01-31","2019","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-01","2019","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-02","2019","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-03","2019","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-04","2019","02","04","†","","","","","","","","","","","","","","","","","30","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-05","2019","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-06","2019","02","06","†","-3.0","","-15.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-07","2019","02","07","†","-3.0","","-15.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-08","2019","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-09","2019","02","09","†","","","","","","","","","","","","","","","","","30","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-10","2019","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-11","2019","02","11","†","0.5","","-10.0","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-12","2019","02","12","†","-2.0","","-9.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-13","2019","02","13","†","-3.0","","-12.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-14","2019","02","14","†","3.0","","-12.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-15","2019","02","15","†","1.0","","-3.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-16","2019","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-17","2019","02","17","†","2.0","","-7.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-18","2019","02","18","†","4.0","","-10.0","","-3.0","","21.0","","0.0","","0.0","","2.0","","2.0","","30","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-19","2019","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-20","2019","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-21","2019","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-22","2019","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-23","2019","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-24","2019","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-25","2019","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-26","2019","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-27","2019","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-02-28","2019","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-01","2019","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-02","2019","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-03","2019","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-04","2019","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-05","2019","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-06","2019","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-07","2019","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-08","2019","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-09","2019","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-10","2019","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-11","2019","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-12","2019","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-13","2019","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-14","2019","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-15","2019","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-16","2019","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-17","2019","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-18","2019","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-19","2019","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-20","2019","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-21","2019","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-22","2019","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-23","2019","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-24","2019","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-25","2019","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-26","2019","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-27","2019","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-28","2019","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-29","2019","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-30","2019","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-03-31","2019","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-04-01","2019","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-04-02","2019","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-04-03","2019","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-04-04","2019","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-04-05","2019","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-04-06","2019","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-04-07","2019","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-04-08","2019","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-128.68","54.04","KITIMAT HATCHERY","106D289","2019-04-09","2019","04","09","","","","","","","","","","","","","","","","","","","","","","",""
