"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.09","49.17","RICHMOND NATURE PARK","1106PF7","2018-01-01","2018","01","01","†","2.5","","-5.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.09","49.17","RICHMOND NATURE PARK","1106PF7","2018-01-02","2018","01","02","†","3.0","","-5.0","","-1.0","","19.0","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-123.09","49.17","RICHMOND NATURE PARK","1106PF7","2018-01-03","2018","01","03","†","3.0","","-2.5","","0.3","","17.7","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-123.09","49.17","RICHMOND NATURE PARK","1106PF7","2018-01-04","2018","01","04","†","6.0","","0.5","","3.3","","14.7","","0.0","","3.2","","0.0","","3.2","","0","","","","",""
"-123.09","49.17","RICHMOND NATURE PARK","1106PF7","2018-01-05","2018","01","05","†","10.5","","3.5","","7.0","","11.0","","0.0","","18.6","","0.0","","18.6","","0","","","","",""
"-123.09","49.17","RICHMOND NATURE PARK","1106PF7","2018-01-06","2018","01","06","†","7.5","","5.0","","6.3","","11.7","","0.0","","5.4","","0.0","","5.4","","0","","","","",""
"-123.09","49.17","RICHMOND NATURE PARK","1106PF7","2018-01-07","2018","01","07","†","7.0","","4.5","","5.8","","12.2","","0.0","","17.6","","0.0","","17.6","","0","","","","",""
"-123.09","49.17","RICHMOND NATURE PARK","1106PF7","2018-01-08","2018","01","08","†","8.0","","5.0","","6.5","","11.5","","0.0","","10.0","","0.0","","10.0","","0","","","","",""
"-123.09","49.17","RICHMOND NATURE PARK","1106PF7","2018-01-09","2018","01","09","†","8.5","","5.5","","7.0","","11.0","","0.0","","1.2","","0.0","","1.2","","0","","","","",""
"-123.09","49.17","RICHMOND NATURE PARK","1106PF7","2018-01-10","2018","01","10","†","8.5","","3.5","","6.0","","12.0","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
