"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-01","2019","01","01","","-0.6","","-7.7","","-4.2","","22.2","","0.0","","","","","","0.0","","2","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-02","2019","01","02","","-1.1","","-7.8","","-4.4","","22.4","","0.0","","","","","","0.0","","2","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-03","2019","01","03","","2.4","","-6.2","","-1.9","","19.9","","0.0","","","","","","0.0","","2","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-04","2019","01","04","","8.9","","-4.1","","2.4","","15.6","","0.0","","","","","","0.9","","3","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-05","2019","01","05","","-0.3","","-6.4","","-3.3","","21.3","","0.0","","","","","","0.0","","2","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-06","2019","01","06","","5.4","","-7.6","","-1.1","","19.1","","0.0","","","","","","0.2","","2","","23","","39",""
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-07","2019","01","07","","2.6","","-11.3","","-4.4","","22.4","","0.0","","","","","","0.2","","2","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-08","2019","01","08","","-5.6","","-13.7","","-9.7","","27.7","","0.0","","","","","","0.2","","2","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-09","2019","01","09","","0.6","","-5.6","","-2.5","","20.5","","0.0","","","","","","0.0","","3","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-10","2019","01","10","","3.2","","-7.5","","-2.1","","20.1","","0.0","","","","","","0.0","","2","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-11","2019","01","11","","2.3","","-5.2","","-1.5","","19.5","","0.0","","","","","","0.0","","3","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2019-01-12","2019","01","12","","1.6","","-6.4","","-2.4","","20.4","","0.0","","","","","","0.0","","3","","","","",""
