"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-01","2023","01","01","†","3.0","","-0.5","","1.3","","16.7","","0.0","","0.0","T","0.0","","0.0","T","50","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-02","2023","01","02","†","0.0","","-2.0","","-1.0","","19.0","","0.0","","0.0","","0.0","T","0.0","T","49","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-03","2023","01","03","†","-2.0","","-3.5","","-2.8","","20.8","","0.0","","0.0","","1.8","","1.8","","49","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-04","2023","01","04","†","-1.0","","-3.5","","-2.3","","20.3","","0.0","","0.0","","0.2","","0.2","","50","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-05","2023","01","05","†","-2.0","","-8.0","","-5.0","","23.0","","0.0","","0.0","","2.4","","2.4","","49","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-06","2023","01","06","†","1.5","","-3.5","","-1.0","","19.0","","0.0","","0.0","","0.6","","0.6","","51","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-07","2023","01","07","†","1.5","","-0.5","","0.5","","17.5","","0.0","","0.0","","3.0","","3.0","","50","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-08","2023","01","08","†","1.5","","0.0","","0.8","","17.2","","0.0","","1.8","","3.6","","5.4","","53","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-09","2023","01","09","†","2.5","","0.0","","1.3","","16.7","","0.0","","3.0","","0.0","","3.0","","51","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-10","2023","01","10","†","2.5","","0.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-11","2023","01","11","†","1.5","","-2.0","","-0.3","","18.3","","0.0","","0.0","","1.0","","1.0","","47","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-12","2023","01","12","†","1.0","","0.0","","0.5","","17.5","","0.0","","9.0","","2.2","","11.2","","47","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-13","2023","01","13","†","1.0","","0.0","","0.5","","17.5","","0.0","","14.8","","0.0","","14.8","","46","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-14","2023","01","14","†","3.0","","0.5","","1.8","","16.2","","0.0","","3.0","","0.0","","3.0","","45","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-15","2023","01","15","†","3.0","","0.5","","1.8","","16.2","","0.0","","8.0","","0.0","","8.0","","43","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-16","2023","01","16","†","5.0","","0.5","","2.8","","15.2","","0.0","","1.4","","0.0","","1.4","","42","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-17","2023","01","17","†","3.0","","0.0","","1.5","","16.5","","0.0","","0.2","","0.2","","0.4","","40","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-18","2023","01","18","†","1.5","","-0.5","","0.5","","17.5","","0.0","","0.8","","5.8","","6.6","","39","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-19","2023","01","19","†","5.5","","-0.5","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2023-01-20","2023","01","20","†","2.5","","-2.5","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
