"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-01-01","2019","01","01","","-3.3","","-10.8","","-7.1","","25.1","","0.0","","","","","","0.3","","66","","","M","","M"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-01-02","2019","01","02","","-0.9","","-4.8","","-2.8","","20.8","","0.0","","","","","","24.3","","64","","","M","","M"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-01-03","2019","01","03","","0.0","","-2.0","","-1.0","","19.0","","0.0","","","","","","32.8","","95","","","M","","M"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-01-04","2019","01","04","","0.7","","-0.5","","0.1","","17.9","","0.0","","","","","","0.4","","103","","","M","","M"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-01-05","2019","01","05","","0.5","","-0.9","","-0.2","","18.2","","0.0","","","","","","0.0","","93","","","M","","M"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-01-06","2019","01","06","","3.0","","-1.2","","0.9","","17.1","","0.0","","","","","","0.6","","88","","","M","","M"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-01-07","2019","01","07","","-0.4","","-17.0","","-8.7","","26.7","","0.0","","","","","","","M","86","","","M","","M"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-01-08","2019","01","08","","-10.7","","-24.4","","-17.6","","35.6","","0.0","","","","","","","M","84","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-01-09","2019","01","09","","","M","","M","","M","","M","","M","","","","","","M","96","","","M","","M"
"-119.29","52.13","BLUE RIVER CS","1160H99","2019-01-10","2019","01","10","","","M","","M","","M","","M","","M","","","","","","M","102","","","M","","M"
