"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-01","2018","01","01","†","-0.5","","-13.5","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","92","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-02","2018","01","02","†","-0.5","","-5.5","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","88","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-03","2018","01","03","†","-2.0","","-6.5","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","86","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-04","2018","01","04","†","-1.0","","-5.0","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","84","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-05","2018","01","05","†","-1.0","","-3.5","","-2.3","","20.3","","0.0","","0.0","","3.0","","3.0","","84","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-06","2018","01","06","†","-4.0","","-3.0","","-3.5","","21.5","","0.0","","0.0","","6.0","","6.0","","86","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-07","2018","01","07","†","-3.5","","-6.0","","-4.8","","22.8","","0.0","","0.0","","4.0","","4.0","","93","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-08","2018","01","08","†","-3.0","","-6.0","","-4.5","","22.5","","0.0","","0.0","","12.0","","12.0","","96","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-09","2018","01","09","†","-4.5","","-4.5","","-4.5","","22.5","","0.0","","0.0","","4.0","","4.0","","105","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-10","2018","01","10","†","-9.5","","-9.5","","-9.5","","27.5","","0.0","","0.0","","2.0","","2.0","","107","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-11","2018","01","11","†","-9.0","","-16.0","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","108","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-12","2018","01","12","†","-3.5","","-11.5","","-7.5","","25.5","","0.0","","0.0","","7.0","","7.0","","104","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-13","2018","01","13","†","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","110","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-14","2018","01","14","†","1.0","","-4.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","109","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-15","2018","01","15","†","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","T","108","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-16","2018","01","16","†","-3.0","","-2.0","","-2.5","","20.5","","0.0","","0.0","","7.0","","7.0","","106","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-17","2018","01","17","†","-1.5","","-6.0","","-3.8","","21.8","","0.0","","0.0","","4.0","","4.0","","111","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-18","2018","01","18","†","-5.5","","-5.0","","-5.3","","23.3","","0.0","","0.0","","0.6","","0.6","","114","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-19","2018","01","19","†","-5.5","","-7.0","","-6.3","","24.3","","0.0","","0.0","","3.0","","3.0","","113","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-20","2018","01","20","†","-6.0","","-6.5","","-6.3","","24.3","","0.0","","0.0","","0.0","T","0.0","T","114","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-21","2018","01","21","†","-5.0","","-6.5","","-5.8","","23.8","","0.0","","0.0","","6.0","","6.0","","115","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-22","2018","01","22","†","-5.5","","-8.0","","-6.8","","24.8","","0.0","","0.0","","1.0","","1.0","","118","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-23","2018","01","23","†","-5.5","","-10.5","","-8.0","","26.0","","0.0","","0.0","","10.0","","10.0","","117","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-24","2018","01","24","†","-3.5","","-8.0","","-5.8","","23.8","","0.0","","0.0","","6.0","","6.0","","124","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-25","2018","01","25","†","-9.0","","-7.5","","-8.3","","26.3","","0.0","","0.0","","1.0","","1.0","","127","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-26","2018","01","26","†","-7.5","","-11.0","","-9.3","","27.3","","0.0","","0.0","","4.0","","4.0","","98","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-27","2018","01","27","†","-6.5","","-11.0","","-8.8","","26.8","","0.0","","0.0","","1.0","","1.0","","130","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-28","2018","01","28","†","-3.0","","-12.5","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","T","147","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-29","2018","01","29","†","-1.5","","-6.0","","-3.8","","21.8","","0.0","","0.0","","2.0","","2.0","","155","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-30","2018","01","30","†","-6.5","","-8.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","150","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-01-31","2018","01","31","†","-6.5","","-10.0","","-8.3","","26.3","","0.0","","0.0","","3.0","","3.0","","148","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-02-01","2018","02","01","†","-3.5","","-11.5","","-7.5","","25.5","","0.0","","0.0","","5.0","","5.0","","149","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-02-02","2018","02","02","†","-1.0","","-7.0","","-4.0","","22.0","","0.0","","0.0","","12.0","","12.0","","151","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-02-03","2018","02","03","†","-5.5","","-2.5","","-4.0","","22.0","","0.0","","0.0","","1.0","","1.0","","160","","","","",""
"-119.91","50.90","SUN PEAKS MOUNTAIN","1168204","2018-02-04","2018","02","04","†","-1.5","","-9.0","","-5.3","","23.3","","0.0","","0.0","","6.0","","6.0","","167","","","","",""
