"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-01","2023","01","01","","1.8","","-2.0","","-0.1","","18.1","","0.0","","","","","","0.0","","23","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-02","2023","01","02","","1.4","","-1.9","","-0.2","","18.2","","0.0","","","","","","0.0","","22","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-03","2023","01","03","","1.1","","-3.2","","-1.1","","19.1","","0.0","","","","","","0.0","","21","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-04","2023","01","04","","1.2","","-6.3","","-2.6","","20.6","","0.0","","","","","","0.0","","21","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-05","2023","01","05","","0.0","","-8.3","","-4.2","","22.2","","0.0","","","","","","0.0","","20","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-06","2023","01","06","","4.8","","-4.7","","0.1","","17.9","","0.0","","","","","","0.0","","19","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-07","2023","01","07","","4.1","","-0.1","","2.0","","16.0","","0.0","","","","","","0.2","","20","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-08","2023","01","08","","2.4","","0.5","","1.4","","16.6","","0.0","","","","","","9.7","","19","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-09","2023","01","09","","2.2","","-1.5","","0.3","","17.7","","0.0","","","","","","0.4","","17","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-10","2023","01","10","","3.9","","-0.5","","1.7","","16.3","","0.0","","","","","","0.0","","16","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-11","2023","01","11","","1.3","","-0.8","","0.2","","17.8","","0.0","","","","","","0.0","","16","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-12","2023","01","12","","2.9","","-0.3","","1.3","","16.7","","0.0","","","","","","12.4","","16","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-13","2023","01","13","","3.6","","1.1","","2.4","","15.6","","0.0","","","","","","13.7","","14","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-14","2023","01","14","","3.9","","0.9","","2.4","","15.6","","0.0","","","","","","1.1","","12","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-15","2023","01","15","","2.6","","0.4","","1.5","","16.5","","0.0","","","","","","1.0","","12","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-16","2023","01","16","","5.4","","0.3","","2.8","","15.2","","0.0","","","","","","0.2","","10","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-17","2023","01","17","","6.4","","-0.4","","3.0","","15.0","","0.0","","","","","","0.0","","10","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-18","2023","01","18","","3.4","","1.2","","2.3","","15.7","","0.0","","","","","","2.2","","9","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-19","2023","01","19","","1.7","","-3.0","","-0.6","","18.6","","0.0","","","","","","0.3","","8","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-20","2023","01","20","","-1.2","","-4.7","","-2.9","","20.9","","0.0","","","","","","0.0","","8","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-21","2023","01","21","","-0.1","","-6.5","","-3.3","","21.3","","0.0","","","","","","3.7","","8","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-22","2023","01","22","","-0.2","","-8.3","","-4.3","","22.3","","0.0","","","","","","0.3","","13","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-23","2023","01","23","","3.1","","-7.2","","-2.0","","20.0","","0.0","","","","","","2.0","","11","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-24","2023","01","24","","0.0","","-9.2","","-4.6","","22.6","","0.0","","","","","","1.0","","11","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-25","2023","01","25","","0.2","","-3.0","","-1.4","","19.4","","0.0","","","","","","0.0","","14","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-26","2023","01","26","","2.1","","-2.2","","0.0","","18.0","","0.0","","","","","","0.6","","13","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-27","2023","01","27","","8.4","","-0.2","","4.1","","13.9","","0.0","","","","","","4.5","","11","","33","","33",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-28","2023","01","28","","1.1","","-5.6","","-2.2","","20.2","","0.0","","","","","","0.0","","9","","2","","33",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-29","2023","01","29","","-4.6","","-13.9","","-9.3","","27.3","","0.0","","","","","","0.0","","9","","35","","35",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2023-01-30","2023","01","30","","-7.2","","-15.8","","-11.5","","29.5","","0.0","","","","","","0.0","","10","","","","",""
