"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-01","2022","01","01","†","-13.5","","-24.5","","-19.0","","37.0","","0.0","","0.0","","0.0","T","0.0","T","49","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-02","2022","01","02","†","-7.0","","-17.0","","-12.0","","30.0","","0.0","","0.0","","1.0","","1.0","","48","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-03","2022","01","03","†","-5.0","","-11.0","","-8.0","","26.0","","0.0","","0.0","","1.0","","1.0","","49","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-04","2022","01","04","†","-16.0","","-18.5","","-17.3","","35.3","","0.0","","0.0","","3.0","","3.0","","50","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-05","2022","01","05","†","-12.0","","-21.0","","-16.5","","34.5","","0.0","","0.0","","6.0","","6.0","","55","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-06","2022","01","06","†","-7.0","","-22.0","","-14.5","","32.5","","0.0","","0.0","","3.0","","3.0","","59","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-07","2022","01","07","†","-11.0","","-9.0","","-10.0","","28.0","","0.0","","0.0","","0.0","T","0.0","T","59","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-08","2022","01","08","†","-3.5","","-15.0","","-9.3","","27.3","","0.0","","0.0","","1.0","","1.0","","60","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-09","2022","01","09","†","-4.0","","-8.5","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","60","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-10","2022","01","10","†","-2.0","","-7.5","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","T","57","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-11","2022","01","11","†","1.5","","-4.0","","-1.3","","19.3","","0.0","","0.0","","6.0","","6.0","","56","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-12","2022","01","12","†","1.0","","-0.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","63","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-13","2022","01","13","†","1.5","","-1.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","59","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-14","2022","01","14","†","1.0","","-0.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-15","2022","01","15","†","1.5","","-0.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-16","2022","01","16","†","3.0","","-3.5","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-17","2022","01","17","†","3.5","","0.0","","1.8","","16.2","","0.0","","0.0","","0.0","T","0.0","T","53","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-18","2022","01","18","†","-2.0","","-2.5","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-19","2022","01","19","†","-3.0","","-10.0","","-6.5","","24.5","","0.0","","0.0","","2.0","","2.0","","52","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-20","2022","01","20","†","1.5","","-4.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-21","2022","01","21","†","1.0","","-3.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-22","2022","01","22","†","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-23","2022","01","23","†","0.5","","-3.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-24","2022","01","24","†","-0.5","","-4.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-25","2022","01","25","†","-1.0","","-8.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-26","2022","01","26","†","-5.5","","-10.5","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-27","2022","01","27","†","-1.0","","-11.5","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-28","2022","01","28","†","-7.0","","-9.5","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","55","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-29","2022","01","29","†","-3.0","","-8.5","","-5.8","","23.8","","0.0","","0.0","","1.0","","1.0","","55","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-30","2022","01","30","†","-2.5","","-5.5","","-4.0","","22.0","","0.0","","0.0","","6.0","","6.0","","58","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-01-31","2022","01","31","†","-4.0","","-7.0","","-5.5","","23.5","","0.0","","0.0","","7.0","","7.0","","60","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-02-01","2022","02","01","†","-8.0","","-9.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","69","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-02-02","2022","02","02","†","-10.5","","-21.0","","-15.8","","33.8","","0.0","","0.0","","5.0","","5.0","","66","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-02-03","2022","02","03","†","-3.0","","-13.0","","-8.0","","26.0","","0.0","","0.0","","1.0","","1.0","","71","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-02-04","2022","02","04","†","1.0","","-4.0","","-1.5","","19.5","","0.0","","0.0","","0.0","T","0.0","T","70","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-02-05","2022","02","05","†","3.5","","-2.0","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","68","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-02-06","2022","02","06","†","4.0","","-3.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","66","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-02-07","2022","02","07","†","4.5","","-2.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","65","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-02-08","2022","02","08","†","1.0","","-4.5","","-1.8","","19.8","","0.0","","0.0","","5.0","","5.0","","61","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-02-09","2022","02","09","†","2.5","","-2.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","68","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-02-10","2022","02","10","†","5.5","","-2.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","65","","","","",""
"-119.88","50.89","SUN PEAKS LOWER","116Q20D","2022-02-11","2022","02","11","†","-1.5","","-4.5","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","62","","","","",""
