"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-01","2019","01","01","†","-2.0","","-12.5","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","145","","","","",""
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-02","2019","01","02","†","-3.0","","-7.0","","-5.0","","23.0","","0.0","","0.0","","1.0","","1.0","","144","","","","",""
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-03","2019","01","03","†","-2.0","","-7.0","","-4.5","","22.5","","0.0","","0.0","","1.0","","1.0","","144","","","","",""
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-04","2019","01","04","†","-4.5","","-6.5","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","141","","","","",""
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-05","2019","01","05","†","-5.0","","-7.0","","-6.0","","24.0","","0.0","","0.0","","4.0","","4.0","","140","","","","",""
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-06","2019","01","06","†","-5.0","","-6.0","","-5.5","","23.5","","0.0","","0.0","","3.0","","3.0","","139","","","","",""
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-07","2019","01","07","†","-15.0","","-12.0","","-13.5","","31.5","","0.0","","0.0","","6.0","","6.0","","140","","","","",""
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-08","2019","01","08","†","-7.0","","-17.5","","-12.3","","30.3","","0.0","","0.0","","9.0","","9.0","","146","","","","",""
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-09","2019","01","09","†","-3.5","","-14.0","","-8.8","","26.8","","0.0","","0.0","","8.0","","8.0","","150","","","","",""
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-10","2019","01","10","†","-2.5","","-6.0","","-4.3","","22.3","","0.0","","0.0","","0.0","T","0.0","T","155","","","","",""
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-11","2019","01","11","†","-3.0","","-6.5","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","T","154","","","","",""
"-119.92","50.90","SUN PEAKS UPPER","116QK0M","2019-01-12","2019","01","12","†","-2.0","","-6.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","153","","","","",""
