"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.63","55.69","CHETWYND A","1181508","2018-01-01","2018","01","01","†","2.5","","-33.0","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-02","2018","01","02","†","5.0","","-3.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-03","2018","01","03","†","4.0","","-0.5","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-04","2018","01","04","†","4.5","","-5.5","","-0.5","","18.5","","0.0","","0.0","T","0.0","","0.0","T","9","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-05","2018","01","05","†","3.0","","-14.5","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-06","2018","01","06","†","2.0","","-3.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-07","2018","01","07","†","2.5","","-3.5","","-0.5","","18.5","","0.0","","0.0","","11.6","","5.0","","9","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-08","2018","01","08","†","-8.5","","-13.0","","-10.8","","28.8","","0.0","","0.0","","3.4","","1.4","","20","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-09","2018","01","09","†","-19.0","","-22.5","","-20.8","","38.8","","0.0","","0.0","","2.4","","1.0","","22","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-10","2018","01","10","†","-23.0","","-27.0","","-25.0","","43.0","","0.0","","0.0","","0.6","","0.2","","22","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-11","2018","01","11","†","-26.5","","-39.5","","-33.0","","51.0","","0.0","","0.0","","0.0","T","0.0","","21","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-12","2018","01","12","†","-3.5","","-36.5","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-13","2018","01","13","†","1.0","","-40.0","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-14","2018","01","14","†","-1.0","","-3.0","","-2.0","","20.0","","0.0","","0.0","","0.8","","0.4","","19","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-15","2018","01","15","†","-3.0","","-6.0","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","","18","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-16","2018","01","16","†","1.5","","-5.5","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-17","2018","01","17","†","-0.5","","-5.0","","-2.8","","20.8","","0.0","","0.0","","0.4","","0.2","","17","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-18","2018","01","18","†","4.0","","-7.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-19","2018","01","19","†","4.0","","-1.0","","1.5","","16.5","","0.0","","0.0","","1.2","","0.4","","16","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-20","2018","01","20","†","-3.0","","-5.5","","-4.3","","22.3","","0.0","","0.0","","6.2","","3.8","","16","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-21","2018","01","21","†","-5.0","","-7.0","","-6.0","","24.0","","0.0","","0.0","","6.6","","4.0","","21","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-22","2018","01","22","†","1.5","","-14.0","","-6.3","","24.3","","0.0","","0.0","","1.4","","0.4","","24","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-23","2018","01","23","†","-5.5","","-15.5","","-10.5","","28.5","","0.0","","0.0","","1.4","","0.6","","24","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-24","2018","01","24","†","-6.5","","-10.5","","-8.5","","26.5","","0.0","","0.0","","8.0","","4.4","","24","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-25","2018","01","25","†","-12.5","","-14.5","","-13.5","","31.5","","0.0","","0.0","","6.8","","3.4","","30","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-26","2018","01","26","†","-16.0","","-18.5","","-17.3","","35.3","","0.0","","0.0","","3.6","","1.4","","35","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-27","2018","01","27","†","-16.0","","-19.0","","-17.5","","35.5","","0.0","","0.0","","0.2","","0.0","","36","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-28","2018","01","28","†","-15.5","","-22.5","","-19.0","","37.0","","0.0","","0.0","","4.0","","1.8","","35","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-29","2018","01","29","†","-14.5","","-19.0","","-16.8","","34.8","","0.0","","0.0","","7.0","","3.4","","39","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-30","2018","01","30","†","-14.5","","-19.0","","-16.8","","34.8","","0.0","","0.0","","3.4","","0.8","","45","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-01-31","2018","01","31","†","-19.5","","-22.5","","-21.0","","39.0","","0.0","","0.0","","5.2","","2.2","","47","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-01","2018","02","01","†","-19.0","","-21.5","","-20.3","","38.3","","0.0","","0.0","","17.0","","6.8","","47","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-02","2018","02","02","†","-20.0","","-23.0","","-21.5","","39.5","","0.0","","0.0","","23.0","","11.0","","60","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-03","2018","02","03","†","-18.0","","-24.0","","-21.0","","39.0","","0.0","","0.0","","0.0","T","0.0","","80","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-04","2018","02","04","†","-16.0","","-28.0","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","78","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-05","2018","02","05","†","-12.5","","-36.0","","-24.3","","42.3","","0.0","","0.0","","0.0","T","0.0","","77","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-06","2018","02","06","†","-17.5","","-32.0","","-24.8","","42.8","","0.0","","0.0","","0.4","","0.2","","63","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-07","2018","02","07","†","-14.0","","-24.0","","-19.0","","37.0","","0.0","","0.0","","7.0","","3.0","","22","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-08","2018","02","08","†","-14.0","","-18.0","","-16.0","","34.0","","0.0","","0.0","","0.0","T","0.0","","66","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-09","2018","02","09","†","-10.0","","-30.5","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","63","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-10","2018","02","10","†","-5.5","","-12.5","","-9.0","","27.0","","0.0","","0.0","","1.0","","0.0","","55","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-11","2018","02","11","†","-7.5","","-14.0","","-10.8","","28.8","","0.0","","0.0","","1.0","","0.4","","53","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-12","2018","02","12","†","1.0","","-22.5","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-13","2018","02","13","†","2.0","","-6.5","","-2.3","","20.3","","0.0","","0.0","T","7.2","","2.0","","39","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-14","2018","02","14","†","-10.5","","-13.0","","-11.8","","29.8","","0.0","","0.0","","0.8","","0.2","","44","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-15","2018","02","15","†","-3.5","","-21.5","","-12.5","","30.5","","0.0","","0.0","","0.4","","0.2","","37","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-16","2018","02","16","†","-5.5","","-8.0","","-6.8","","24.8","","0.0","","0.0","","1.4","","0.4","","33","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-17","2018","02","17","†","-8.5","","-11.0","","-9.8","","27.8","","0.0","","0.0","","0.0","T","0.0","","32","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-18","2018","02","18","†","-7.0","","-21.5","","-14.3","","32.3","","0.0","","0.0","","0.0","T","0.0","","31","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-19","2018","02","19","†","-6.0","","-20.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-20","2018","02","20","†","-4.5","","-20.5","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","","30","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-21","2018","02","21","†","-6.5","","-9.5","","-8.0","","26.0","","0.0","","0.0","","0.4","","0.2","","29","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-22","2018","02","22","†","-2.0","","-18.5","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-23","2018","02","23","†","0.5","","-6.0","","-2.8","","20.8","","0.0","","0.0","","0.2","","0.0","","28","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-24","2018","02","24","†","1.0","","-5.5","","-2.3","","20.3","","0.0","","0.0","","0.0","T","0.0","","28","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-25","2018","02","25","†","-1.0","","-6.5","","-3.8","","21.8","","0.0","","0.0","","1.0","","0.4","","27","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-26","2018","02","26","†","1.0","","-17.5","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-27","2018","02","27","†","2.5","","-1.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-02-28","2018","02","28","†","1.5","","-6.5","","-2.5","","20.5","","0.0","","0.0","","4.2","","1.8","","25","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-01","2018","03","01","†","-12.0","","-13.0","","-12.5","","30.5","","0.0","","0.0","","8.2","","2.8","","27","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-02","2018","03","02","†","-13.5","","-15.5","","-14.5","","32.5","","0.0","","0.0","","2.4","","1.2","","34","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-03","2018","03","03","†","-11.0","","-17.0","","-14.0","","32.0","","0.0","","0.0","","0.2","","0.0","","33","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-04","2018","03","04","†","-4.5","","-15.0","","-9.8","","27.8","","0.0","","0.0","","0.2","","0.0","","33","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-05","2018","03","05","†","-5.5","","-21.5","","-13.5","","31.5","","0.0","","0.0","","5.0","","2.0","","32","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-06","2018","03","06","†","-2.0","","-14.5","","-8.3","","26.3","","0.0","","0.0","","0.0","T","0.0","","35","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-07","2018","03","07","†","1.0","","-20.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-08","2018","03","08","†","-3.0","","-22.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-09","2018","03","09","†","3.0","","-17.5","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-10","2018","03","10","†","7.5","","-2.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-11","2018","03","11","†","9.0","","-10.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-12","2018","03","12","†","9.0","","-7.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-13","2018","03","13","†","10.0","","-6.5","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-14","2018","03","14","†","7.5","","-7.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-15","2018","03","15","†","9.0","","-2.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2018-03-16","2018","03","16","†","7.5","","1.0","","4.3","","13.7","","0.0","","0.4","","0.0","","0.4","","18","","","","",""
