"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-01","2024","01","01","","-1.7","","-11.0","","-6.3","","24.3","","0.0","","","","","","0.0","","1","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-02","2024","01","02","","-1.7","","-4.0","","-2.9","","20.9","","0.0","","","","","","0.5","","1","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-03","2024","01","03","","-4.0","","-20.0","","-12.0","","30.0","","0.0","","","","","","0.0","","2","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-04","2024","01","04","","-9.5","","-20.6","","-15.0","","33.0","","0.0","","","","","","0.0","","2","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-05","2024","01","05","","-6.2","","-9.5","","-7.8","","25.8","","0.0","","","","","","3.6","","3","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-06","2024","01","06","","-0.7","","-7.5","","-4.1","","22.1","","0.0","","","","","","5.4","","8","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-07","2024","01","07","","-6.9","","-23.1","","-15.0","","33.0","","0.0","","","","","","0.0","","12","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-08","2024","01","08","","-8.5","","-24.0","","-16.3","","34.3","","0.0","","","","","","0.0","","11","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-09","2024","01","09","","-4.5","","-8.6","","-6.6","","24.6","","0.0","","","","","","0.0","","10","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-10","2024","01","10","","-5.9","","-9.3","","-7.6","","25.6","","0.0","","","","","","0.9","","10","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-11","2024","01","11","","-8.7","","-12.7","","-10.7","","28.7","","0.0","","","","","","3.3","","13","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-12","2024","01","12","","-12.5","","-17.9","","-15.2","","33.2","","0.0","","","","","","0.9","","20","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-13","2024","01","13","","-17.9","","-23.5","","-20.7","","38.7","","0.0","","","","","","0.0","","18","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-14","2024","01","14","","-20.2","","-23.3","","-21.8","","39.8","","0.0","","","","","","0.1","","17","","26","","31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-15","2024","01","15","","-22.2","","-27.6","","-24.9","","42.9","","0.0","","","","","","0.0","","16","","25","","38",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-16","2024","01","16","","-18.9","","-24.5","","-21.7","","39.7","","0.0","","","","","","0.0","","16","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-17","2024","01","17","","-18.0","","-28.9","","-23.5","","41.5","","0.0","","","","","","0.1","","16","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-18","2024","01","18","","-16.2","","-32.4","","-24.3","","42.3","","0.0","","","","","","0.1","","16","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-19","2024","01","19","","-15.1","","-29.0","","-22.0","","40.0","","0.0","","","","","","0.0","","16","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-20","2024","01","20","","-13.1","","-30.0","","-21.6","","39.6","","0.0","","","","","","0.0","","16","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-21","2024","01","21","","-7.5","","-15.2","","-11.4","","29.4","","0.0","","","","","","0.2","","16","","19","","40",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-22","2024","01","22","","-6.3","","-9.9","","-8.1","","26.1","","0.0","","","","","","2.4","","18","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-23","2024","01","23","","-2.8","","-10.2","","-6.5","","24.5","","0.0","","","","","","0.2","","19","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-24","2024","01","24","","-1.5","","-2.8","","-2.2","","20.2","","0.0","","","","","","0.3","","18","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-25","2024","01","25","","0.2","","-2.7","","-1.2","","19.2","","0.0","","","","","","0.1","","18","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-26","2024","01","26","","-0.1","","-2.1","","-1.1","","19.1","","0.0","","","","","","0.1","","17","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-27","2024","01","27","","-1.1","","-3.8","","-2.4","","20.4","","0.0","","","","","","0.0","","17","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-28","2024","01","28","","-0.7","","-11.1","","-5.9","","23.9","","0.0","","","","","","0.0","","17","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-29","2024","01","29","","0.1","","-11.5","","-5.7","","23.7","","0.0","","","","","","0.3","","17","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-30","2024","01","30","","-0.8","","-2.8","","-1.8","","19.8","","0.0","","","","","","0.0","","17","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-01-31","2024","01","31","","8.8","","-2.3","","3.2","","14.8","","0.0","","","","","","0.0","","17","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-02-01","2024","02","01","","2.9","","-7.4","","-2.3","","20.3","","0.0","","","","","","0.0","","13","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-02-02","2024","02","02","","3.6","","-10.0","","-3.2","","21.2","","0.0","","","","","","0.0","","12","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-02-03","2024","02","03","","8.0","","-14.0","","-3.0","","21.0","","0.0","","","","","","0.0","","12","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-02-04","2024","02","04","","9.3","","-9.2","","0.1","","17.9","","0.0","","","","","","0.0","","12","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-02-05","2024","02","05","","9.8","","-4.6","","2.6","","15.4","","0.0","","","","","","0.0","","12","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-02-06","2024","02","06","","5.7","","-5.4","","0.1","","17.9","","0.0","","","","","","0.0","","9","","","","",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2024-02-07","2024","02","07","","5.3","","-2.4","","1.5","","16.5","","0.0","","","","","","1.4","","9","","","","",""
