"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-01","2024","01","01","","-3.2","","-4.9","","-4.1","","22.1","","0.0","","","","","","0.0","","1","","","","",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-02","2024","01","02","","-1.0","","-3.7","","-2.4","","20.4","","0.0","","","","","","0.0","","0","","24","","38",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-03","2024","01","03","","-0.6","","-3.7","","-2.2","","20.2","","0.0","","","","","","3.9","","1","","","","",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-04","2024","01","04","","-3.7","","-9.9","","-6.8","","24.8","","0.0","","","","","","0.0","","1","","","","",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-05","2024","01","05","","-2.8","","-4.9","","-3.9","","21.9","","0.0","","","","","","0.0","","1","","","","",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-06","2024","01","06","","-0.9","","-4.6","","-2.7","","20.7","","0.0","","","","","","0.0","","1","","13","","37",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-07","2024","01","07","","-0.7","","-5.3","","-3.0","","21.0","","0.0","","","","","","0.4","","2","","","","",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-08","2024","01","08","","0.4","","-1.0","","-0.3","","18.3","","0.0","","","","","","0.6","","2","","","","",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-09","2024","01","09","","3.8","","-1.2","","1.3","","16.7","","0.0","","","","","","17.4","","2","","13","","42",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-10","2024","01","10","","3.7","","-3.3","","0.2","","17.8","","0.0","","","","","","1.9","","2","","20","","53",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-11","2024","01","11","","-0.1","","-2.2","","-1.1","","19.1","","0.0","","","","","","3.5","","2","","","","",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-12","2024","01","12","","1.3","","-2.5","","-0.6","","18.6","","0.0","","","","","","12.0","","5","","12","","55",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-13","2024","01","13","","2.5","","-7.3","","-2.4","","20.4","","0.0","","","","","","5.5","","8","","26","","53",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-14","2024","01","14","","-6.7","","-13.5","","-10.1","","28.1","","0.0","","","","","","2.1","","15","","25","","53",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-15","2024","01","15","","-12.9","","-16.6","","-14.7","","32.7","","0.0","","","","","","0.0","","18","","20","","32",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-16","2024","01","16","","-10.3","","-15.5","","-12.9","","30.9","","0.0","","","","","","1.4","","17","","24","","34",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-17","2024","01","17","","-10.9","","-17.1","","-14.0","","32.0","","0.0","","","","","","0.6","","17","","21","","43",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-18","2024","01","18","","-7.1","","-10.9","","-9.0","","27.0","","0.0","","","","","","0.1","","16","","","","",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-19","2024","01","19","","-8.7","","-16.8","","-12.7","","30.7","","0.0","","","","","","0.0","","17","","","","",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-20","2024","01","20","","-11.0","","-16.7","","-13.8","","31.8","","0.0","","","","","","0.0","","17","","32","","36",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-21","2024","01","21","","-4.7","","-16.0","","-10.4","","28.4","","0.0","","","","","","0.0","","15","","","","",""
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2024-01-22","2024","01","22","","-3.2","","-10.6","","-6.9","","24.9","","0.0","","","","","","1.8","","15","","21","","38",""
