"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-01","2023","01","01","","0.7","","-2.7","","","","","","","","0.0","","0.0","T","0.0","T","25","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-02","2023","01","02","","-1.0","","-3.0","","","","","","","","0.0","","0.7","","0.7","","24","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-03","2023","01","03","","3.4","","-3.9","","","","","","","","0.0","","0.2","","0.2","","24","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-04","2023","01","04","","2.0","","-5.4","","","","","","","","0.0","","1.8","","1.8","","24","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-05","2023","01","05","","-4.7","","-8.7","","","","","","","","0.0","","2.6","","2.6","","25","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-06","2023","01","06","","-1.7","","-7.0","","","","","","","","0.0","","2.0","","2.0","","29","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-07","2023","01","07","","-3.1","","-9.8","","","","","","","","0.0","","0.0","","0.0","","29","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-08","2023","01","08","","-8.2","","-12.2","","","","","","","","0.0","","0.0","","0.0","","27","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-09","2023","01","09","","-5.2","","-14.5","","","","","","","","0.0","","9.6","","9.6","","27","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-10","2023","01","10","","-8.2","","-14.7","","","","","","","","0.0","","0.0","","0.0","","37","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-11","2023","01","11","","-5.4","","-25.8","","","","","","","","0.0","","0.0","","0.0","","37","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-12","2023","01","12","","-1.2","","-19.4","","","","","","","","0.0","","15.7","","15.7","","37","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-13","2023","01","13","","-1.7","","-6.7","","","","","","","","0.0","","7.6","","7.6","","47","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-14","2023","01","14","","-2.3","","-14.2","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-15","2023","01","15","","-2.8","","-21.0","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-16","2023","01","16","","-4.1","","-22.2","","","","","","","","0.0","","0.0","","0.0","","46","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-17","2023","01","17","","1.4","","-12.7","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-18","2023","01","18","","2.0","","-13.6","","","","","","","","0.0","","0.0","","0.0","","44","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-19","2023","01","19","","-2.0","","-6.8","","","","","","","","0.0","","2.0","","2.0","","44","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-20","2023","01","20","","-1.9","","-9.6","","","","","","","","0.0","","1.4","","1.4","","45","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-21","2023","01","21","","-3.7","","-12.4","","","","","","","","0.0","","0.0","T","0.0","T","44","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-22","2023","01","22","","-3.6","","-12.4","","","","","","","","0.0","","4.6","","4.6","","43","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-23","2023","01","23","","0.7","","-6.4","","","","","","","","0.0","","0.4","","0.4","","46","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-24","2023","01","24","","-0.1","","-6.6","","","","","","","","0.0","T","0.4","","0.4","","46","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-25","2023","01","25","","-6.9","","-25.1","","","","","","","","0.0","","9.0","","9.0","","46","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-26","2023","01","26","","-5.8","","-10.7","","","","","","","","0.0","","1.6","","1.6","","53","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-27","2023","01","27","","-4.6","","-21.7","","","","","","","","0.0","","1.6","","1.6","","51","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-28","2023","01","28","","0.0","","-18.1","","","","","","","","0.0","","4.2","","4.2","","53","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-29","2023","01","29","","-8.9","","-20.6","","","","","","","","0.0","","10.9","","10.9","","52","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-30","2023","01","30","","-11.5","","-26.3","","","","","","","","0.0","","3.7","","3.7","","59","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-01-31","2023","01","31","","-10.8","","-21.9","","","","","","","","0.0","","0.0","","0.0","","61","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-01","2023","02","01","","-11.1","","-31.8","","","","","","","","0.0","","0.0","T","0.0","T","61","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-02","2023","02","02","","-4.9","","-21.9","","","","","","","","0.0","","1.9","","1.9","","60","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-03","2023","02","03","","-28.3","","-30.1","","","","","","","","0.0","","0.0","","0.0","","60","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-04","2023","02","04","","-18.1","","-34.4","","","","","","","","0.0","","2.9","","2.9","","58","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-05","2023","02","05","","-9.1","","-24.6","","","","","","","","0.0","","12.5","","12.5","","61","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-06","2023","02","06","","-4.4","","-13.0","","","","","","","","0.0","","0.0","","0.0","","66","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-07","2023","02","07","","-4.3","","-25.5","","","","","","","","0.0","","3.0","","3.0","","66","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-08","2023","02","08","","1.0","","-8.4","","","","","","","","0.0","","0.0","","0.0","","69","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-09","2023","02","09","","-1.4","","-16.2","","","","","","","","6.1","","7.7","","13.8","","68","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-10","2023","02","10","","0.4","","-6.8","","","","","","","","1.0","","3.2","","4.2","","73","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-11","2023","02","11","","-3.5","","-15.1","","","","","","","","0.0","","0.0","","0.0","","72","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-12","2023","02","12","","0.7","","-7.0","","","","","","","","0.0","","0.0","","0.0","","72","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2023-02-13","2023","02","13","","2.9","","-9.5","","","","","","","","0.0","","0.0","","0.0","","70","","","","",""
