"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2021-01-01","2021","01","01","","-8.0","","-14.0","","","","","","","","0.0","","0.0","","0.0","","14","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2021-01-02","2021","01","02","","-8.0","","-15.0","","","","","","","","0.0","","1.0","","1.0","","12","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2021-01-03","2021","01","03","","-2.0","","-15.0","","","","","","","","0.0","","0.0","","0.0","","12","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2021-01-04","2021","01","04","","-3.0","","-5.0","","","","","","","","0.0","","0.0","","0.0","","12","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2021-01-05","2021","01","05","","-4.0","","-11.2","","","","","","","","0.0","","0.0","","0.0","","12","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2021-01-06","2021","01","06","","3.5","","-15.0","","","","","","","","0.0","","0.0","T","0.0","T","11","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2021-01-07","2021","01","07","","-0.5","","-3.0","","","","","","","","0.0","","4.1","","4.1","","8","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2021-01-08","2021","01","08","","-1.0","","-5.0","","","","","","","","0.0","T","1.0","","1.0","","10","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2021-01-09","2021","01","09","","1.0","","-3.0","","","","","","","","0.0","","0.0","","0.0","","8","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2021-01-10","2021","01","10","","-3.0","","-13.0","","","","","","","","0.0","","0.0","","0.0","","7","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2021-01-11","2021","01","11","","-5.0","","-15.0","","","","","","","","0.0","","0.0","","0.0","","7","","","","",""
