"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.28","48.80","LAC BERRY","709CEE9","2020-01-01","2020","01","01","","-3.4","","-9.7","","","","","","","","0.0","","","M","","M","","M","","","",""
"-78.28","48.80","LAC BERRY","709CEE9","2020-01-02","2020","01","02","","0.6","","-14.0","","","","","","","","","M","","M","","M","","M","","","",""
"-78.28","48.80","LAC BERRY","709CEE9","2020-01-03","2020","01","03","","1.0","","-3.5","","","","","","","","","M","0.5","","","M","","M","","","",""
"-78.28","48.80","LAC BERRY","709CEE9","2020-01-04","2020","01","04","","-8.5","","-10.0","","","","","","","","0.0","","1.0","","1.0","","50","","","","",""
"-78.28","48.80","LAC BERRY","709CEE9","2020-01-05","2020","01","05","","-10.9","","-14.0","","","","","","","","0.0","","0.0","T","0.0","T","51","","","","",""
"-78.28","48.80","LAC BERRY","709CEE9","2020-01-06","2020","01","06","","-8.5","","-19.0","","","","","","","","0.0","","","M","","M","51","","","","",""
"-78.28","48.80","LAC BERRY","709CEE9","2020-01-07","2020","01","07","","-3.0","","-15.5","","","","","","","","0.0","","","M","","M","52","","","","",""
"-78.28","48.80","LAC BERRY","709CEE9","2020-01-08","2020","01","08","","-14.0","","-19.0","","","","","","","","0.0","","","M","","M","56","","","","",""
"-78.28","48.80","LAC BERRY","709CEE9","2020-01-09","2020","01","09","","-5.0","","-35.6","","","","","","","","0.0","","","M","","M","","M","","","",""
"-78.28","48.80","LAC BERRY","709CEE9","2020-01-10","2020","01","10","","0.5","","-17.0","","","","","","","","0.0","T","6.0","","6.0","","60","","","","",""
"-78.28","48.80","LAC BERRY","709CEE9","2020-01-11","2020","01","11","","-8.6","","-18.4","","","","","","","","0.0","","","M","","M","","M","","","",""
