"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.20","51.77","WYNYARD (AUT)","40190LN","2018-01-01","2018","01","01","","-19.1","","-27.3","","-23.2","","41.2","","0.0","","","M","","M","0.0","","4","","23","","46",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2018-01-02","2018","01","02","","-10.3","","-24.8","","-17.6","","35.6","","0.0","","","M","","M","0.0","","3","","24","","57",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2018-01-03","2018","01","03","","-9.3","","-24.5","","-16.9","","34.9","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2018-01-04","2018","01","04","","-11.9","","-14.0","","-13.0","","31.0","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2018-01-05","2018","01","05","","-10.2","","-13.8","","-12.0","","30.0","","0.0","","","M","","M","0.0","","3","","13","","35",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2018-01-06","2018","01","06","","-4.1","","-12.0","","-8.1","","26.1","","0.0","","","M","","M","0.0","","3","","17","","44",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2018-01-07","2018","01","07","","-0.2","","-7.1","","-3.7","","21.7","","0.0","","","M","","M","0.0","","3","","27","","44",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2018-01-08","2018","01","08","","-3.7","","-9.1","","-6.4","","24.4","","0.0","","","M","","M","0.0","","3","","17","","33",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2018-01-09","2018","01","09","","-5.2","","-14.4","","-9.8","","27.8","","0.0","","","M","","M","0.0","","3","","34","","33",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2018-01-10","2018","01","10","","-14.4","","-24.8","","-19.6","","37.6","","0.0","","","M","","M","0.0","","3","","34","","37",""
