"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-103.80","49.70","WEYBURN","401HP5R","2021-01-01","2021","01","01","","-5.3","","-20.3","","-12.8","","30.8","","0.0","","","","","","0.0","","4","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-02","2021","01","02","","4.9","","-8.3","","-1.7","","19.7","","0.0","","","","","","0.0","","4","","24","","31",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-03","2021","01","03","","4.8","","-2.8","","1.0","","17.0","","0.0","","","","","","0.0","","4","","31","","40",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-04","2021","01","04","","0.5","","-12.5","","-6.0","","24.0","","0.0","","","","","","0.0","","4","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-05","2021","01","05","","2.7","","-10.4","","-3.8","","21.8","","0.0","","","","","","0.6","","4","","31","","44",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-06","2021","01","06","","0.9","","-14.7","","-6.9","","24.9","","0.0","","","","","","0.0","","4","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-07","2021","01","07","","-2.7","","-10.6","","-6.7","","24.7","","0.0","","","","","","0.0","","4","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-08","2021","01","08","","-2.6","","-17.0","","-9.8","","27.8","","0.0","","","","","","0.0","","4","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-09","2021","01","09","","-3.6","","-18.2","","-10.9","","28.9","","0.0","","","","","","0.0","","4","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-10","2021","01","10","","-0.8","","-10.2","","-5.5","","23.5","","0.0","","","","","","0.0","","4","","24","","32",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-11","2021","01","11","","0.1","","-12.6","","-6.2","","24.2","","0.0","","","","","","0.0","","4","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-12","2021","01","12","","0.5","","-6.8","","-3.1","","21.1","","0.0","","","","","","0.0","","4","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-13","2021","01","13","","7.8","","-3.9","","1.9","","16.1","","0.0","","","","","","0.7","","4","","33","","103",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-14","2021","01","14","","","M","","M","","M","","M","","M","","","","","","M","4","","","M","","M"
"-103.80","49.70","WEYBURN","401HP5R","2021-01-15","2021","01","15","","-4.6","","-8.8","","-6.7","","24.7","","0.0","","","","","","0.0","","4","","36","","60",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-16","2021","01","16","","-0.1","","-11.8","","-5.9","","23.9","","0.0","","","","","","0.0","","4","","32","","48",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-17","2021","01","17","","-2.0","","-12.1","","-7.1","","25.1","","0.0","","","","","","0.0","","4","","30","","31",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-18","2021","01","18","","-0.6","","-9.8","","-5.2","","23.2","","0.0","","","","","","0.9","","4","","34","","63",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-19","2021","01","19","","2.3","","-12.9","","-5.3","","23.3","","0.0","","","","","","0.0","","4","","36","","51",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-20","2021","01","20","","3.2","","-3.5","","-0.2","","18.2","","0.0","","","","","","0.0","","3","","31","","75",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-21","2021","01","21","","-3.1","","-11.9","","-7.5","","25.5","","0.0","","","","","","0.0","","3","","33","","61",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-22","2021","01","22","","-7.1","","-15.0","","-11.0","","29.0","","0.0","","","","","","0.5","","3","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-23","2021","01","23","","-6.0","","-23.9","","-15.0","","33.0","","0.0","","","","","","0.4","","6","","33","","48",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-24","2021","01","24","","-19.2","","-25.3","","-22.3","","40.3","","0.0","","","","","","0.0","","3","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-25","2021","01","25","","-18.8","","-28.6","","-23.7","","41.7","","0.0","","","","","","0.0","","5","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2021-01-26","2021","01","26","","-21.4","","-31.0","","-26.2","","44.2","","0.0","","","","","","0.0","","4","","","","",""
