"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.95","49.73","ASSINIBOIA AIRPORT","4020286","2024-01-01","2024","01","01","","1.5","","-7.9","","-3.2","","21.2","","0.0","","","","","","0.5","","","","32","","48",""
"-105.95","49.73","ASSINIBOIA AIRPORT","4020286","2024-01-02","2024","01","02","","-3.6","","-10.5","","-7.1","","25.1","","0.0","","","","","","0.0","","","","","","",""
"-105.95","49.73","ASSINIBOIA AIRPORT","4020286","2024-01-03","2024","01","03","","-6.6","","-10.2","","-8.4","","26.4","","0.0","","","","","","0.0","","","","","","",""
"-105.95","49.73","ASSINIBOIA AIRPORT","4020286","2024-01-04","2024","01","04","","-1.9","","-9.6","","-5.8","","23.8","","0.0","","","","","","0.0","","","","24","","31",""
"-105.95","49.73","ASSINIBOIA AIRPORT","4020286","2024-01-05","2024","01","05","","-5.0","","-7.3","","-6.2","","24.2","","0.0","","","","","","0.0","","","","32","","38",""
"-105.95","49.73","ASSINIBOIA AIRPORT","4020286","2024-01-06","2024","01","06","","-5.0","","-9.5","","-7.3","","25.3","","0.0","","","","","","0.0","","","","","","",""
"-105.95","49.73","ASSINIBOIA AIRPORT","4020286","2024-01-07","2024","01","07","","-6.3","","-14.0","","-10.2","","28.2","","0.0","","","","","","1.9","","","","","","",""
"-105.95","49.73","ASSINIBOIA AIRPORT","4020286","2024-01-08","2024","01","08","","-12.8","","-23.8","","-18.3","","36.3","","0.0","","","","","","0.2","","2","","","","",""
"-105.95","49.73","ASSINIBOIA AIRPORT","4020286","2024-01-09","2024","01","09","","-2.4","","-21.0","","-11.7","","29.7","","0.0","","","","","","1.5","","1","","29","","64",""
"-105.95","49.73","ASSINIBOIA AIRPORT","4020286","2024-01-10","2024","01","10","","-14.3","","-22.8","","-18.5","","36.5","","0.0","","","","","","0.0","","2","","30","","64",""
