"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-01","2018","01","01","","-24.6","","-35.8","","-30.2","","48.2","","0.0","","","M","","M","0.0","","28","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-02","2018","01","02","","-24.3","","-31.7","","-28.0","","46.0","","0.0","","","M","","M","0.0","","28","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-03","2018","01","03","","-20.0","","-24.3","","-22.2","","40.2","","0.0","","","M","","M","0.0","","28","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-04","2018","01","04","","-16.2","","-20.6","","-18.4","","36.4","","0.0","","","M","","M","0.0","","28","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-05","2018","01","05","","-10.4","","-16.2","","-13.3","","31.3","","0.0","","","M","","M","1.2","","28","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-06","2018","01","06","","-8.9","","-12.0","","-10.5","","28.5","","0.0","","","M","","M","7.5","","30","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-07","2018","01","07","","-11.9","","-26.4","","-19.2","","37.2","","0.0","","","M","","M","0.6","","36","","32","","32",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-08","2018","01","08","","-18.2","","-31.5","","-24.9","","42.9","","0.0","","","M","","M","0.9","","33","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-09","2018","01","09","","-27.8","","-34.0","","-30.9","","48.9","","0.0","","","M","","M","0.0","","35","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-10","2018","01","10","","-32.7","","-41.9","","-37.3","","55.3","","0.0","","","M","","M","0.2","","35","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-11","2018","01","11","","-32.0","","-42.6","","-37.3","","55.3","","0.0","","","M","","M","0.0","","35","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-12","2018","01","12","","-29.7","","-41.7","","-35.7","","53.7","","0.0","","","M","","M","0.0","","34","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2018-01-13","2018","01","13","","-27.9","","-41.0","","-34.5","","52.5","","0.0","","","M","","M","0.2","","34","","","","<31",""
