provincename,Station Name,Climate ID
Ontario,BARWICK,6020559
Ontario,RAWSON LAKE,6036904
Ontario,ATIKOKAN (AUT),6020LPQ
Ontario,UPSALA (AUT),6049095
Ontario,PICKLE LAKE (AUT),6016525
Ontario,LANSDOWNE HOUSE (AUT),6014353
Ontario,PEAWANUCK (AUT),6016295
Ontario,NAGAGAMI (AUT),6075543
Ontario,AMHERSTBURG,6130257
Ontario,WINDSOR RIVERSIDE,6139520
Ontario,KINGSVILLE MOE,6134190
Ontario,BONNER LAKE,6070QK6
Ontario,MASSEY,6065006
Ontario,GODERICH,6122847
Ontario,NEW GLASGOW,6135583
Ontario,STRATHROY-MULLIFARRY,6148122
Ontario,ST THOMAS WPCP,6137362
Ontario,LONDON CS,6144478
Ontario,WOODSTOCK,6149625
Ontario,MOUNT FOREST (AUT),6145504
Ontario,TILLSONBURG WWTP,6138270
Ontario,GLEN ALLAN,6142803
Ontario,MOOSONEE UA,6075425
Ontario,DELHI CS,6131983
Ontario,ROSEVILLE,6147188
Ontario,FERGUS MOE,6142402
Ontario,FERGUS SHAND DAM,6142400
Ontario,COLLINGWOOD,6111792
Ontario,KIRKLAND LAKE CS,6074211
Ontario,HAMILTON RBG CS,6153301
Ontario,GEORGETOWN WWTP,6152695
Ontario,SHANTY BAY,6117684
Ontario,COLDWATER WARMINSTER,6111769
Ontario,TORONTO NORTH YORK,615S001
Ontario,ORILLIA BRAIN,6115811
Ontario,RIDGEVILLE,6137161
Ontario,PORT COLBORNE (AUT),613F606
Ontario,PORT COLBORNE,6136606
Ontario,LAGOON CITY,6114295
Ontario,UDORA,6119055
Ontario,FORT ERIE,6132470
Ontario,OSHAWA WPCP,6155878
Ontario,HALIBURTON 3,6163171
Ontario,COBOURG STP,6151689
Ontario,BANCROFT AUTO,616I001
Ontario,TRENTON A,6158875
Ontario,BELLEVILLE,6150689
Ontario,PETAWAWA HOFFMAN,610FC98
Ontario,CENTREVILLE,6151309
Ontario,OMPAH-SEITZ,6105762
Ontario,HARTINGTON IHD,6103367
Ontario,DRUMMOND CENTRE,6102J13
Ontario,APPLETON,6100285
Ontario,GRENADIER ISLAND,6103024
Ontario,BROCKVILLE PCC,6100971
Ontario,KEMPTVILLE CS,6104027
Ontario,ST. ALBERT,6107276
Ontario,CORNWALL,6101874
