"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-01","2012","01","01","","-6.4","","-14.3","","-10.4","","28.4","","0.0","","","M","","M","0.0","","","","29","","41",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-02","2012","01","02","","1.8","","-18.1","","-8.2","","26.2","","0.0","","","M","","M","0.2","","","","16","","59",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-03","2012","01","03","","3.5","","-2.7","","0.4","","17.6","","0.0","","","M","","M","0.0","","","","23","","46",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-04","2012","01","04","","6.9","","-4.8","","1.1","","16.9","","0.0","","","M","","M","0.0","","","","23","","48",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-05","2012","01","05","","6.7","","-1.1","","2.8","","15.2","","0.0","","","M","","M","0.0","","","","28","","57",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-06","2012","01","06","","-0.3","","-5.4","","-2.9","","20.9","","0.0","","","M","","M","0.4","","","","26","","41",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-07","2012","01","07","","-2.2","","-6.8","","-4.5","","22.5","","0.0","","","M","","M","0.0","","","","23","","32",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-08","2012","01","08","","3.2","","-6.5","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","23","","54",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-09","2012","01","09","","7.4","","-1.1","","3.2","","14.8","","0.0","","","M","","M","0.0","","","","25","","50",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-10","2012","01","10","","3.1","","-12.6","","-4.8","","22.8","","0.0","","","M","","M","0.7","","","","33","","57",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-11","2012","01","11","","-12.4","","-21.3","","-16.9","","34.9","","0.0","","","M","","M","0.9","","","","33","","52",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-12","2012","01","12","","-5.6","","-19.0","","-12.3","","30.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-13","2012","01","13","","-0.3","","-7.8","","-4.1","","22.1","","0.0","","","M","","M","0.0","","","","26","","33",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-14","2012","01","14","","-2.6","","-9.8","","-6.2","","24.2","","0.0","","","M","","M","0.2","","","","","","<31",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-15","2012","01","15","","-7.4","","-20.8","","-14.1","","32.1","","0.0","","","M","","M","4.3","","","","34","","46",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-16","2012","01","16","","-20.5","","-28.8","","-24.7","","42.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-17","2012","01","17","","-27.7","","-35.3","","-31.5","","49.5","","0.0","","","M","","M","0.5","","","","","","<31",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-18","2012","01","18","","-26.5","","-32.9","","-29.7","","47.7","","0.0","","","M","","M","0.0","","","","25","","46",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-19","2012","01","19","","-20.6","","-28.7","","-24.7","","42.7","","0.0","","","M","","M","0.0","","","","25","","37",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-20","2012","01","20","","-18.7","","-27.7","","-23.2","","41.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-21","2012","01","21","","-10.9","","-19.9","","-15.4","","33.4","","0.0","","","M","","M","0.0","","","","12","","48",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-22","2012","01","22","","-12.4","","-23.2","","-17.8","","35.8","","0.0","","","M","","M","0.0","","","","7","","32",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-23","2012","01","23","","-4.3","","-23.8","","-14.1","","32.1","","0.0","","","M","","M","0.2","","","","16","","37",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-24","2012","01","24","","-1.2","","-8.7","","-5.0","","23.0","","0.0","","","M","","M","0.0","","","","20","","43",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-25","2012","01","25","","1.9","","-5.9","","-2.0","","20.0","","0.0","","","M","","M","0.0","","","","20","","54",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-26","2012","01","26","","-0.7","","-9.5","","-5.1","","23.1","","0.0","","","M","","M","0.0","","","","27","","39",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-27","2012","01","27","","-6.0","","-11.9","","-9.0","","27.0","","0.0","","","M","","M","0.0","","","","27","","37",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-28","2012","01","28","","-7.8","","-21.1","","-14.5","","32.5","","0.0","","","M","","M","1.1","","","","","","<31",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-29","2012","01","29","","-6.2","","-18.7","","-12.5","","30.5","","0.0","","","M","","M","0.0","","","","14","","48",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-30","2012","01","30","","0.5","","-9.6","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","16","","35",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-01-31","2012","01","31","","1.3","","-8.9","","-3.8","","21.8","","0.0","","","M","","M","0.0","","","","27","","32",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-02-01","2012","02","01","","2.8","","-6.6","","-1.9","","19.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2012-02-02","2012","02","02","","1.9","","-11.1","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","","","<31",""
