"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-103.80","49.70","WEYBURN","401HP5R","2016-01-01","2016","01","01","","-2.1","","-9.0","","-5.6","","23.6","","0.0","","","M","","M","0.0","","4","","31","","37",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-02","2016","01","02","","-4.2","","-15.8","","-10.0","","28.0","","0.0","","","M","","M","0.0","","4","","32","","37",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-03","2016","01","03","","-7.0","","-18.6","","-12.8","","30.8","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-04","2016","01","04","","-3.3","","-13.9","","-8.6","","26.6","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-05","2016","01","05","","-7.3","","-17.7","","-12.5","","30.5","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-06","2016","01","06","","-4.6","","-8.5","","-6.6","","24.6","","0.0","","","M","","M","0.0","","4","","16","","35",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-07","2016","01","07","","-5.1","","-13.4","","-9.3","","27.3","","0.0","","","M","","M","0.5","","4","","3","","33",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-08","2016","01","08","","-12.8","","-21.0","","-16.9","","34.9","","0.0","","","M","","M","0.0","","4","","34","","33",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-09","2016","01","09","","-17.8","","-29.0","","-23.4","","41.4","","0.0","","","M","","M","0.2","","4","","","","<31",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-10","2016","01","10","","-13.5","","-31.0","","-22.3","","40.3","","0.0","","","M","","M","0.0","","4","","33","","32",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-11","2016","01","11","","-11.9","","-24.6","","-18.3","","36.3","","0.0","","","M","","M","0.0","","4","","34","","56",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-12","2016","01","12","","-7.0","","-24.5","","-15.8","","33.8","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-13","2016","01","13","","-5.8","","-16.0","","-10.9","","28.9","","0.0","","","M","","M","1.1","","4","","11","","32",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-14","2016","01","14","","-7.0","","-11.8","","-9.4","","27.4","","0.0","","","M","","M","1.8","","4","","","","<31",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-15","2016","01","15","","-10.1","","-27.5","","-18.8","","36.8","","0.0","","","M","","M","0.5","","7","","","","<31",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-16","2016","01","16","","-23.3","","-35.7","","-29.5","","47.5","","0.0","","","M","","M","0.2","","10","","33","","41",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-17","2016","01","17","","-21.1","","-28.8","","-25.0","","43.0","","0.0","","","M","","M","0.0","","9","","33","","41",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-18","2016","01","18","","-14.2","","-28.0","","-21.1","","39.1","","0.0","","","M","","M","0.8","","7","","14","","46",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-19","2016","01","19","","-4.3","","-14.3","","-9.3","","27.3","","0.0","","","M","","M","0.0","","9","","15","","33",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-20","2016","01","20","","-7.7","","-12.5","","-10.1","","28.1","","0.0","","","M","","M","0.0","","9","","","","<31",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-21","2016","01","21","","-11.6","","-19.1","","-15.4","","33.4","","0.0","","","M","","M","0.9","","9","","","","<31",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-22","2016","01","22","","0.9","","-15.4","","-7.3","","25.3","","0.0","","","M","","M","0.0","","9","","19","","41",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-23","2016","01","23","","3.8","","-7.4","","-1.8","","19.8","","0.0","","","M","","M","0.2","","9","","32","","69",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-24","2016","01","24","","-4.7","","-7.2","","-6.0","","24.0","","0.0","","","M","","M","0.0","","9","","","","<31",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-25","2016","01","25","","-3.8","","-8.4","","-6.1","","24.1","","0.0","","","M","","M","0.2","","9","","35","","43",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-26","2016","01","26","","-4.3","","-10.4","","-7.4","","25.4","","0.0","","","M","","M","0.0","","9","","","","<31",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-27","2016","01","27","","4.2","","-4.4","","-0.1","","18.1","","0.0","","","M","","M","0.0","","8","","31","","76",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-28","2016","01","28","","3.8","","-12.1","","-4.2","","22.2","","0.0","","","M","","M","0.0","","8","","18","","33",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-29","2016","01","29","","4.4","","0.0","","2.2","","15.8","","0.0","","","M","","M","0.0","","8","","33","","56",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-30","2016","01","30","","3.0","","-7.1","","-2.1","","20.1","","0.0","","","M","","M","0.0","","5","","29","","32",""
"-103.80","49.70","WEYBURN","401HP5R","2016-01-31","2016","01","31","","-1.5","","-9.8","","-5.7","","23.7","","0.0","","","M","","M","0.0","","5","","33","","33",""
"-103.80","49.70","WEYBURN","401HP5R","2016-02-01","2016","02","01","","-4.3","","-10.4","","-7.4","","25.4","","0.0","","","M","","M","0.0","","5","","","","<31",""
