"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-01","2017","01","01","","-12.0","","-23.6","","-17.8","","35.8","","0.0","","","M","","M","0.2","","4","","","","<31",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-02","2017","01","02","","-15.2","","-28.5","","-21.9","","39.9","","0.0","","","M","","M","0.2","","4","","","","<31",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-03","2017","01","03","","-18.7","","-27.8","","-23.3","","41.3","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-04","2017","01","04","","-15.1","","-22.4","","-18.8","","36.8","","0.0","","","M","","M","0.0","","5","","35","","33",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-05","2017","01","05","","-12.0","","-18.7","","-15.4","","33.4","","0.0","","","M","","M","0.7","","5","","29","","37",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-06","2017","01","06","","-16.0","","-28.0","","-22.0","","40.0","","0.0","","","M","","M","0.2","","5","","","","<31",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-07","2017","01","07","","-12.9","","-28.7","","-20.8","","38.8","","0.0","","","M","","M","0.0","","5","","17","","37",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-08","2017","01","08","","-17.2","","-26.8","","-22.0","","40.0","","0.0","","","M","","M","0.0","","5","","31","","35",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-09","2017","01","09","","-18.9","","-26.6","","-22.8","","40.8","","0.0","","","M","","M","2.6","","5","","","","<31",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-10","2017","01","10","","-20.1","","-29.1","","-24.6","","42.6","","0.0","","","M","","M","0.2","","12","","29","","39",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-11","2017","01","11","","-10.5","","-31.8","","-21.2","","39.2","","0.0","","","M","","M","0.2","","11","","32","","89",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-12","2017","01","12","","-22.4","","-33.0","","-27.7","","45.7","","0.0","","","M","","M","0.0","","0","T","33","","57",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-13","2017","01","13","","-9.7","","-25.3","","-17.5","","35.5","","0.0","","","M","","M","0.0","","0","T","27","","35",""
"-107.15","50.95","LUCKY LAKE","4024714","2017-01-14","2017","01","14","","-5.2","","-14.8","","-10.0","","28.0","","0.0","","","M","","M","0.0","","0","T","24","","41",""
