"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2017-01-01","2017","01","01","","-21.6","","-35.0","","-28.3","","46.3","","0.0","","","M","","M","0.2","","30","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2017-01-02","2017","01","02","","-22.6","","-35.7","","-29.2","","47.2","","0.0","","","M","","M","0.0","","30","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2017-01-03","2017","01","03","","-14.9","","-23.3","","-19.1","","37.1","","0.0","","","M","","M","0.7","","29","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2017-01-04","2017","01","04","","-14.4","","-22.1","","-18.3","","36.3","","0.0","","","M","","M","0.9","","31","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2017-01-05","2017","01","05","","-14.2","","-24.1","","-19.2","","37.2","","0.0","","","M","","M","0.0","","31","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2017-01-06","2017","01","06","","-17.6","","-30.4","","-24.0","","42.0","","0.0","","","M","","M","0.0","","31","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2017-01-07","2017","01","07","","-19.4","","-32.5","","-26.0","","44.0","","0.0","","","M","","M","0.2","","31","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2017-01-08","2017","01","08","","-27.6","","-38.4","","-33.0","","51.0","","0.0","","","M","","M","0.2","","31","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2017-01-09","2017","01","09","","-22.1","","-33.6","","-27.9","","45.9","","0.0","","","M","","M","0.6","","31","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2017-01-10","2017","01","10","","-31.6","","-41.6","","-36.6","","54.6","","0.0","","","M","","M","0.2","","31","","","","<31",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2017-01-11","2017","01","11","","-28.1","","-39.0","","-33.6","","51.6","","0.0","","","M","","M","1.0","","32","","3","","33",""
