GeoUID,Region.Name,provincename,min_longitude,max_longitude,min_latitude,max_latitude
1001101,"Division No.  1, Subd. V (SNO)",Newfoundland and Labrador,-53.6508,-53.0045,46.6111,46.9979
1001105,Portugal Cove South (T),Newfoundland and Labrador,-53.2618,-53.2498,46.7011,46.717
1001113,Trepassey (T),Newfoundland and Labrador,-53.4166,-53.3158,46.6885,46.7835
1001120,St. Shott's (T),Newfoundland and Labrador,-53.5952,-53.5755,46.6289,46.6392
1001124,"Division No.  1, Subd. U (SNO)",Newfoundland and Labrador,-53.2651,-52.7789,46.7561,47.2894
1001126,Cape Broyle (T),Newfoundland and Labrador,-52.9688,-52.9076,47.0714,47.1143
1001131,Renews-Cappahayden (T),Newfoundland and Labrador,-53.0442,-52.899,46.8163,46.9668
1001136,Fermeuse (T),Newfoundland and Labrador,-53.0444,-52.8923,46.9349,46.9999
1001140,Port Kirwan (T),Newfoundland and Labrador,-52.9469,-52.8897,46.9622,46.9942
1001144,Aquaforte (T),Newfoundland and Labrador,-52.9839,-52.9045,47.0054,47.0224
1001149,Ferryland (T),Newfoundland and Labrador,-52.9512,-52.8549,47.007,47.0486
1001155,"Division No.  1, Subd. W (SNO)",Newfoundland and Labrador,-53.7235,-53.095,46.7771,47.3279
1001169,St. Vincent's-St. Stephen's-Peter's River (T),Newfoundland and Labrador,-53.6642,-53.4895,46.7012,46.8355
1001174,Gaskiers-Point La Haye (T),Newfoundland and Labrador,-53.651,-53.557,46.8351,46.9063
1001178,St. Mary's (T),Newfoundland and Labrador,-53.6155,-53.4628,46.8871,46.9422
1001181,Riverhead (T),Newfoundland and Labrador,-53.5769,-53.4098,46.9304,47.0614
1001186,Admirals Beach (T),Newfoundland and Labrador,-53.655,-53.5415,46.9823,47.0423
1001192,St. Joseph's (T),Newfoundland and Labrador,-53.5901,-53.4557,47.0604,47.122
1001197,Mount Carmel-Mitchells Brook-St. Catherine's (T),Newfoundland and Labrador,-53.5533,-53.3372,47.1259,47.2481
1001203,"Division No.  1, Subd. X (SNO)",Newfoundland and Labrador,-53.7508,-53.3268,47.0341,47.4329
1001207,Colinet (T),Newfoundland and Labrador,-53.5731,-53.5306,47.203,47.2356
1001214,"Division No.  1, Subd. C (SNO)",Newfoundland and Labrador,-54.2017,-53.7329,46.8021,47.1777
1001219,Branch (T),Newfoundland and Labrador,-54.018,-53.894,46.8637,46.9027
1001225,Point Lance (T),Newfoundland and Labrador,-54.1355,-54.0379,46.7891,46.8484
1001228,St. Bride's (T),Newfoundland and Labrador,-54.1912,-54.1569,46.9068,46.9424
1001234,"Division No.  1, Subd. B (SNO)",Newfoundland and Labrador,-54.0619,-53.6618,47.1479,47.4341
1001240,Placentia (T),Newfoundland and Labrador,-54.0071,-53.7939,47.2095,47.3191
1001254,Fox Harbour (T),Newfoundland and Labrador,-53.9522,-53.8242,47.3012,47.3359
1001259,"Division No.  1, Subd. A (SNO)",Newfoundland and Labrador,-54.0841,-53.658,47.3567,47.9585
1001263,Long Harbour-Mount Arlington Heights (T),Newfoundland and Labrador,-53.87,-53.7149,47.4166,47.4804
1001267,Southern Harbour (T),Newfoundland and Labrador,-53.9789,-53.9291,47.7048,47.7348
1001270,Arnold's Cove (T),Newfoundland and Labrador,-54.0142,-53.9582,47.7511,47.7882
1001274,Come By Chance (T),Newfoundland and Labrador,-54.0478,-53.9492,47.7708,47.9002
1001277,Sunnyside (T),Newfoundland and Labrador,-53.9609,-53.8646,47.8326,47.908
1001281,Chance Cove (T),Newfoundland and Labrador,-53.86,-53.7924,47.6431,47.7022
1001285,Norman's Cove-Long Cove (T),Newfoundland and Labrador,-53.7211,-53.6518,47.5381,47.6018
1001289,Chapel Arm (T),Newfoundland and Labrador,-53.7137,-53.6185,47.4628,47.5399
1001293,"Division No.  1, Subd. Y (SNO)",Newfoundland and Labrador,-53.6782,-53.3781,47.372,47.5812
1001298,Whitbourne (T),Newfoundland and Labrador,-53.5862,-53.5048,47.4024,47.4525
1001304,"Division No.  1, Subd. E (SNO)",Newfoundland and Labrador,-53.5733,-53.3138,47.5267,47.8078
1001308,Whiteway (T),Newfoundland and Labrador,-53.5053,-53.4059,47.662,47.7136
1001312,Heart's Delight-Islington (T),Newfoundland and Labrador,-53.507,-53.4061,47.7485,47.798
1001316,Heart's Desire (T),Newfoundland and Labrador,-53.4693,-53.3833,47.7973,47.8495
1001321,"Division No.  1, Subd. F (SNO)",Newfoundland and Labrador,-53.3842,-53.0354,47.7828,48.0639
1001325,Heart's Content (T),Newfoundland and Labrador,-53.4354,-53.2913,47.8083,47.8907
1001328,New Perlican (T),Newfoundland and Labrador,-53.3876,-53.2691,47.8872,47.9259
1001332,Winterton (T),Newfoundland and Labrador,-53.3508,-53.276,47.941,47.9697
1001335,Hant's Harbour (T),Newfoundland and Labrador,-53.3306,-53.2338,47.9577,48.0294
1001339,"Division No.  1, Subd. G (SNO)",Newfoundland and Labrador,-53.2718,-52.7891,47.7982,48.1752
1001343,Old Perlican (T),Newfoundland and Labrador,-53.0214,-52.9715,48.0592,48.118
1001347,Bay de Verde (T),Newfoundland and Labrador,-52.9267,-52.849,48.0777,48.1159
1001352,Small Point-Adam's Cove-Blackhead-Broad Cove (T),Newfoundland and Labrador,-53.1981,-53.0736,47.8256,47.8703
1001357,"Division No.  1, Subd. H (SNO)",Newfoundland and Labrador,-53.3383,-53.1267,47.7336,47.8169
1001361,Salmon Cove (T),Newfoundland and Labrador,-53.1986,-53.1477,47.7695,47.7899
1001365,Victoria (T),Newfoundland and Labrador,-53.2718,-53.184,47.7522,47.7909
1001370,Carbonear (T),Newfoundland and Labrador,-53.274,-53.1849,47.7149,47.7478
1001374,"Division No.  1, Subd. I (SNO)",Newfoundland and Labrador,-53.3964,-53.1439,47.6438,47.7402
1001375,Bryant's Cove (T),Newfoundland and Labrador,-53.2144,-53.1644,47.662,47.6983
1001379,Harbour Grace (T),Newfoundland and Labrador,-53.3157,-53.1667,47.6433,47.7204
1001385,Upper Island Cove (T),Newfoundland and Labrador,-53.2632,-53.1906,47.6326,47.6665
1001391,"Division No.  1, Subd. J (SNO)",Newfoundland and Labrador,-53.269,-53.2534,47.638,47.6464
1001394,Bishop's Cove (T),Newfoundland and Labrador,-53.2528,-53.2117,47.629,47.6435
1001396,Spaniard's Bay (T),Newfoundland and Labrador,-53.4075,-53.2457,47.5581,47.6568
1001405,"Division No.  1, Subd. K (SNO)",Newfoundland and Labrador,-53.4811,-53.3028,47.4599,47.5781
1001409,Bay Roberts (T),Newfoundland and Labrador,-53.3428,-53.1993,47.5499,47.6224
1001415,"Division No.  1, Subd. L (SNO)",Newfoundland and Labrador,-53.3135,-53.1744,47.5503,47.6121
1001421,"Division No.  1, Subd. M (SNO)",Newfoundland and Labrador,-53.5105,-53.2403,47.3747,47.5358
1001426,North River (T),Newfoundland and Labrador,-53.3382,-53.2826,47.5228,47.5604
1001429,Clarke's Beach (T),Newfoundland and Labrador,-53.3407,-53.2625,47.5092,47.5648
1001434,South River (T),Newfoundland and Labrador,-53.2953,-53.2381,47.5083,47.5572
1001437,Cupids (T),Newfoundland and Labrador,-53.2658,-53.1841,47.5189,47.5731
1001441,"Division No.  1, Subd. N (SNO)",Newfoundland and Labrador,-53.274,-53.1795,47.4651,47.5372
1001446,Brigus (T),Newfoundland and Labrador,-53.2604,-53.1805,47.5127,47.5613
1001452,"Division No.  1, Subd. O (SNO)",Newfoundland and Labrador,-53.3647,-53.1961,47.2816,47.5048
1001456,Colliers (T),Newfoundland and Labrador,-53.3043,-53.169,47.407,47.5087
1001461,Conception Harbour (T),Newfoundland and Labrador,-53.2971,-53.1606,47.3915,47.5088
1001464,Avondale (T),Newfoundland and Labrador,-53.2738,-53.1765,47.3582,47.4464
1001469,Harbour Main-Chapel's Cove-Lakeview (T),Newfoundland and Labrador,-53.2293,-53.127,47.3582,47.4642
1001472,Holyrood (T),Newfoundland and Labrador,-53.2459,-53.0698,47.2686,47.4567
1001485,Conception Bay South (T),Newfoundland and Labrador,-53.0967,-52.9101,47.4336,47.5534
1001490,"Division No.  1, Subd. R (SNO)",Newfoundland and Labrador,-53.0291,-52.9411,47.5387,47.6342
1001494,Wabana (T),Newfoundland and Labrador,-52.997,-52.91,47.6205,47.658
1001504,Portugal Cove-St. Philip's (T),Newfoundland and Labrador,-52.8965,-52.7822,47.5579,47.6924
1001505,Pouch Cove (T),Newfoundland and Labrador,-52.8306,-52.7087,47.6852,47.81
1001507,Flatrock (T),Newfoundland and Labrador,-52.7903,-52.6949,47.6778,47.7335
1001509,Torbay (T),Newfoundland and Labrador,-52.7964,-52.7031,47.6256,47.6966
1001511,Logy Bay-Middle Cove-Outer Cove (T),Newfoundland and Labrador,-52.7249,-52.652,47.611,47.6658
1001512,Bauline (T),Newfoundland and Labrador,-52.8502,-52.7937,47.6711,47.7302
1001517,Paradise (T),Newfoundland and Labrador,-52.9247,-52.8218,47.5021,47.584
1001519,St. John's (CY),Newfoundland and Labrador,-53.0379,-52.6194,47.3308,47.634
1001542,Mount Pearl (CY),Newfoundland and Labrador,-52.8544,-52.7737,47.4969,47.5404
1001551,Petty Harbour-Maddox Cove (T),Newfoundland and Labrador,-52.7241,-52.6883,47.4591,47.4822
1001557,Bay Bulls (T),Newfoundland and Labrador,-52.8409,-52.7387,47.2873,47.3592
1001559,Witless Bay (T),Newfoundland and Labrador,-52.8558,-52.7663,47.2442,47.31
1001565,"Division No.  1, Subd. D (SNO)",Newfoundland and Labrador,-53.1476,-52.6634,47.2539,47.8034
1002001,"Division No.  2, Subd. E (SNO)",Newfoundland and Labrador,-55.3402,-55.1186,46.9232,47.1524
1002002,Lewin's Cove (T),Newfoundland and Labrador,-55.2324,-55.2015,47.0689,47.1124
1002005,Burin (T),Newfoundland and Labrador,-55.2324,-55.0992,47.0076,47.1143
1002006,"Division No.  2, Subd. F (SNO)",Newfoundland and Labrador,-55.4936,-55.2605,46.8718,47.1199
1002008,St. Lawrence (T),Newfoundland and Labrador,-55.4423,-55.3468,46.872,46.9367
1002009,"Division No.  2, Subd. G (SNO)",Newfoundland and Labrador,-55.9308,-55.405,46.8432,47.0709
1002011,Lawn (T),Newfoundland and Labrador,-55.5538,-55.5265,46.9165,46.955
1002012,Lamaline (T),Newfoundland and Labrador,-55.8836,-55.6671,46.8429,46.9683
1002013,Lord's Cove (T),Newfoundland and Labrador,-55.7008,-55.6007,46.8621,46.9211
1002014,Point May (T),Newfoundland and Labrador,-55.9891,-55.866,46.8828,47.0136
1002015,Point au Gaul (T),Newfoundland and Labrador,-55.7728,-55.7332,46.8479,46.8768
1002016,"Division No.  2, Subd. H (SNO)",Newfoundland and Labrador,-55.9126,-55.369,46.9698,47.1431
1002017,Frenchman's Cove (T),Newfoundland and Labrador,-55.4956,-55.3552,47.1131,47.2236
1002018,Fortune (T),Newfoundland and Labrador,-55.9443,-55.7869,46.9929,47.0893
1002019,Grand Bank (T),Newfoundland and Labrador,-55.7991,-55.7064,47.0738,47.1103
