provincename,Longitude,Latitude,Region.Name,Date/Time,production_in_division_X22.Utilities,production_in_division_X23.Construction,production_in_division_X31.33.Manufacturing,production_in_division_X48.49.Transportation.and.warehousing,production_in_division_X61.Educational.services,production_in_division_X62.Health.care.and.social.assistance,production_in_division_X72.Accommodation.and.food.services,production_in_division_X81.Other.services..except.public.administration.,production_in_division_X91.Public.administration,production_in_division_X11.Agriculture.forestry.fishing.hunting.21.Mining.quarrying.and.oil.and.gas.extraction,production_in_division_X41.Wholesale.trade.44.45.Retail.trade,production_in_division_X52.Finance.and.insurance.53.Real.estate.and.rental.and.leasing,production_in_division_X54.Professional..scientific.and.technical.services.55.56,production_in_division_X51.Information.culture.and.recreation.71,Population,GeoUID,Station Name,Climate ID,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow Grnd Last Day (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
Ontario,-77.88,45.07,Faraday (TP),1998-01-01,2.15734416663504,5.18763132694695,3.886560211119147,0.8291799132192854,1.328470658413263,3.684227794071853,1.5105693931650197,0.3094391751747615,2.596075840793256,0.8353295614300502,4.745116921419706,1.7057312356668102,2.7155387036502745,0.0,1401.0,3512058,BANCROFT AUTO,616I001,-2.7,-13.2,-7.9,5.5,-31.5,0.0,0.0,123.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1998-02-01,2.3364285741851023,5.20889893526354,3.8743573490526906,0.8232196588825845,1.31597319296233,3.6943755514540593,1.5256525271075454,0.3128921496665275,2.742585866032284,0.8572586189741692,4.745326411782299,1.6642464218050124,2.734514387323748,0.0,1401.0,3512058,BANCROFT AUTO,616I001,3.4,-12.2,-4.4,10.6,-27.4,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1998-03-01,2.308241711377047,4.99010548481772,3.92776478172715,0.8557608206051258,1.3072258168407245,3.6985149752664737,1.534503406897701,0.3160349713531263,2.7223125967448367,0.8612344322960755,4.778963994099154,1.6830693535970502,2.6910958249812365,0.0,1401.0,3512058,BANCROFT AUTO,616I001,3.8,-8.9,-2.6,22.3,-24.4,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1998-04-01,2.503029054804773,5.157776869575644,3.974108073389547,0.8572150193607313,1.3883133418567188,3.6992615541316334,1.5472678754068916,0.3194527072549291,2.776875259986872,0.8397193598320039,4.93489032636144,1.708513543102464,2.7166392173843885,0.0,1401.0,3512058,BANCROFT AUTO,616I001,13.4,-3.6,4.9,23.0,-8.4,0.0,0.0,43.5,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1998-05-01,2.3937476015282737,4.786738603803553,3.860343216093227,0.8484313166539862,1.2839679084008766,3.711509889473674,1.5519867181631877,0.3210483276870326,2.721141494963091,0.8022862124828378,4.889096819613152,1.6389513612682656,2.7286697543790024,0.0,1401.0,3512058,BANCROFT AUTO,616I001,22.1,5.3,13.8,29.9,-3.2,0.0,0.0,48.4,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1998-06-01,2.4950347082541726,4.803444803576836,3.8308080737593664,0.825540011845796,1.2839121953358108,3.759944897533966,1.5888816473206178,0.3225412922113037,2.708374871552403,0.8537707386646206,4.847585957095178,1.64647969455018,2.713115171858737,0.0,1401.0,3512058,BANCROFT AUTO,616I001,22.1,8.6,15.4,30.1,-1.7,0.0,0.0,54.4,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1998-07-01,2.5298410741407142,4.85007950636558,3.883859237354704,0.8430387980915962,1.2349830052627746,3.765482028353304,1.5778830074043146,0.3330413928502018,2.736848010831505,0.8181115369862153,4.826114308876761,1.675222283647411,2.708798251341598,0.0,1401.0,3512058,BANCROFT AUTO,616I001,25.5,10.1,17.8,33.2,4.2,0.0,0.0,92.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1998-08-01,2.583559687726121,4.776134680189685,3.7982555000505895,0.8607953417586494,1.3163005908567356,3.591454472092813,1.6085699466061505,0.330852171877336,2.696947365620079,0.7577780722295351,4.85674917905858,1.6822712004390143,2.7718478872003027,0.0,1401.0,3512058,BANCROFT AUTO,616I001,25.0,9.7,17.4,29.8,0.2,0.0,0.0,96.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1998-09-01,2.588553891594504,4.830283736179003,3.938677168661338,0.8255049547729255,1.234076953308403,3.667336841154269,1.6140284668270024,0.3308015927875719,2.718581750390811,0.8966564810607535,4.916303373830619,1.7034237169027082,2.7558393134741035,0.0,1401.0,3512058,BANCROFT AUTO,616I001,21.2,5.8,13.5,27.9,-3.5,0.0,0.0,73.2,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1998-10-01,2.465874882160056,4.8583331125396,3.9274992453623017,0.8590845722345587,1.300379097493452,3.6313914744506666,1.6418440247791664,0.3383685961806751,2.768910316972188,0.8767696895038374,4.879886144166711,1.639924888772583,2.7820017956822243,0.0,1401.0,3512058,BANCROFT AUTO,616I001,14.1,0.7,7.4,21.4,-5.0,0.0,0.0,36.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1998-11-01,2.5732855756176782,4.719570186965551,3.9811370033939113,0.859836201456242,1.319840312460253,3.627026800102537,1.6156620011471363,0.3329042841311051,2.7589824911516385,0.8951001900877358,4.957140592100651,1.729266523927188,2.825025221779687,0.0,1401.0,3512058,BANCROFT AUTO,616I001,5.1,-2.6,1.3,15.2,-11.2,0.0,0.0,55.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1998-12-01,2.497502181721159,4.85733739702877,4.01447304400708,0.8800452427459524,1.2965437791179222,3.6611312432973295,1.6717512392185914,0.3292787170524148,2.799983959648635,0.942262985306609,4.935991482916417,1.7455364061554186,2.84066302965662,0.0,1401.0,3512058,BANCROFT AUTO,616I001,1.8,-9.9,-4.0,13.5,-28.9,0.0,0.0,43.8,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1999-01-01,2.4048999636871744,4.947216603762404,4.041218884371677,0.892163275466189,1.236943709478997,3.6968123842800806,1.746775947262207,0.3259768937441415,2.709594344085376,0.8624043044526195,4.9230580278843785,1.6599852049803605,2.7790704485742825,0.0,1401.0,3512058,BANCROFT AUTO,616I001,-4.6,-18.6,-11.6,9.2,-34.7,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1999-02-01,2.413943675185991,5.370694026003206,4.21206505940556,0.8764348461483353,1.3325662115594146,3.858637978146526,1.8168100552098123,0.3403476690586997,2.829465174941258,0.8783816430550339,5.270833161851849,1.7728978454216593,3.000405080333827,0.0,1401.0,3512058,BANCROFT AUTO,616I001,1.4,-14.3,-6.4,7.9,-28.9,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1999-03-01,2.2788323424819854,5.172226267111883,4.174230932173739,0.8946099540101639,1.2645532898277732,3.755769770910492,1.8291818838095784,0.3424571339880684,2.8248190986266923,0.8252896702207361,5.158314264551472,1.769711721628458,3.0454149173971867,0.0,1401.0,3512058,BANCROFT AUTO,616I001,3.9,-10.8,-3.5,18.6,-28.2,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1999-04-01,2.455311647402924,5.4284790677883095,4.207689414552017,0.9348844045196832,1.3049713829635687,3.79460307820079,1.7996740588030544,0.3429869250174199,2.819893923369728,0.8076057273311384,5.040011659648068,1.751893491099822,3.078689028332821,0.0,1401.0,3512058,BANCROFT AUTO,616I001,12.5,-3.5,4.5,21.4,-8.6,0.0,0.0,31.6,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1999-05-01,2.45552457953892,5.595598115203186,4.2441594624513455,0.9283990370442372,1.3184172035093995,3.809573240968119,1.7903662945143164,0.3442164933450423,2.8002631235274125,0.9288149833294822,5.073123059034099,1.7478978286858666,3.080933572858435,0.0,1401.0,3512058,BANCROFT AUTO,616I001,21.6,2.9,12.3,31.0,-3.6,0.0,0.0,133.6,0.0,0.0,0.0
Ontario,-77.88,45.07,Faraday (TP),1999-06-01,2.4427637284840986,5.559742518944434,4.244712076454195,0.9112470928845476,1.3371742430565177,3.789453487993592,1.7646773940153293,0.3489878423850737,2.874572524293512,0.8845283506876044,5.102963243837266,1.783501574827249,3.140496790453862,0.0,1401.0,3512058,BANCROFT AUTO,616I001,25.1,9.4,17.2,31.3,0.6,0.0,0.0,173.4,0.0,0.0,0.0
