provincename,Station Name,Climate ID
Newfoundland and Labrador,NAIN,8502799
Newfoundland and Labrador,HOPEDALE (AUT),8502400
Newfoundland and Labrador,GOOSE A,8501900
Newfoundland and Labrador,GRATES COVE,840B053
Newfoundland and Labrador,TWILLINGATE (AUT),8404025
Newfoundland and Labrador,TERRA NOVA NAT PARK CS,8403851
Newfoundland and Labrador,ST ANTHONY,8403399
Newfoundland and Labrador,LETHBRIDGE,8402544
Newfoundland and Labrador,LA SCIE,8402520
Newfoundland and Labrador,FEROLLE POINT (AUT),8401565
Newfoundland and Labrador,ENGLEE (AUT),8401538
Newfoundland and Labrador,DEER LAKE,8401500
Newfoundland and Labrador,CORNER BROOK,8401300
Newfoundland and Labrador,CORNER BROOK,8401298
Newfoundland and Labrador,CAPE RACE (AUT),8401000
Newfoundland and Labrador,BURNT POND,8400812
Newfoundland and Labrador,BADGER (AUT),8400301
Newfoundland and Labrador,ARGENTIA (AUT),8400104
Prince Edward Island,SUMMERSIDE,8300596
Prince Edward Island,STANHOPE,8300590
Prince Edward Island,NORTH CAPE,8300516
Prince Edward Island,NEW GLASGOW,8300497
Prince Edward Island,EAST POINT (AUT),8300418
Nova Scotia,WESTERN HEAD,8206240
Nova Scotia,WATERVILLE CAMBRIDGE,8206222
Nova Scotia,SHEARWATER A,8205090
Nova Scotia,POCKWOCK LAKE,8204453
Nova Scotia,KENTVILLE CDA CS,8202810
Nova Scotia,KEJIMKUJIK 1,8202592
Nova Scotia,GREENWOOD A,8202000
Nova Scotia,CARIBOU POINT (AUT),8200774
Nova Scotia,BRIER ISLAND,8200604
New Brunswick,POINT LEPREAU CS,8104201
New Brunswick,MISCOU ISLAND (AUT),8103050
New Brunswick,MACTAQUAC PROV PARK,8102536
New Brunswick,GAGETOWN A,8101792
Nova Scotia,FUNDY PARK (ALMA) CS,8101746
New Brunswick,MIRAMICHI RCS,8100989
New Brunswick,BAS CARAQUET,8100468
New Brunswick,BAS CARAQUET,8100467
New Brunswick,AROOSTOOK,8100300
Quebec,LAC BERRY,709CEE9
Quebec,VAL-D'OR A,7098600
Quebec,MONT BRUN,7085106
Quebec,ST MICHEL DES SAINTS,7077570
Quebec,ST PRIME,7067658
Quebec,ST AMBROISE,7066820
Quebec,BAGOTVILLE A,7060400
Quebec,SAINT MICHEL,7057567
Quebec,STE LUCIE,7057515
Quebec,ST JEAN DE CHERBOURG,7057395
Quebec,ST CAMILLE,7056930
Quebec,RIMOUSKI,7056480
Quebec,LAC HUMQUI,7053649
