Longitude,Latitude,Station Name,Climate ID,Date/Time,Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow Grnd Last Day (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h),GeoUID,Region.Name,provincename
-136.37,59.45,PLEASANT CAMP,1206197,2018-01-01,2018,1,-3.7580645161290325,-10.96774193548387,-7.370967741935484,5.0,-25.0,32.5,81.0,113.5,0.0,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
-136.37,59.45,PLEASANT CAMP,1206197,2018-02-01,2018,2,-2.142857142857143,-11.803571428571429,-6.982142857142857,5.0,-22.0,0.0,26.0,26.0,0.0,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
-136.37,59.45,PLEASANT CAMP,1206197,2018-03-01,2018,3,2.161290322580645,-6.741935483870968,-2.296774193548387,10.0,-18.0,13.0,73.6,86.6,0.0,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
-136.37,59.45,PLEASANT CAMP,1206197,2018-04-01,2018,4,7.933333333333334,-2.45,2.743333333333333,12.0,-13.0,73.0,4.0,77.0,0.0,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
-136.37,59.45,PLEASANT CAMP,1206197,2018-05-01,2018,5,14.5,3.435483870967742,8.974193548387097,22.5,-3.0,64.5,0.0,64.5,0.0,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
-136.37,59.45,PLEASANT CAMP,1206197,2018-06-01,2018,6,18.033333333333335,6.433333333333334,12.233333333333333,29.0,1.0,27.0,0.0,27.0,0.0,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
-136.37,59.45,PLEASANT CAMP,1206197,2018-07-01,2018,7,23.0,7.480769230769231,15.246153846153845,31.0,4.0,26.9,0.0,26.9,,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
-136.37,59.45,PLEASANT CAMP,1206197,2018-08-01,2018,8,18.29032258064516,6.967741935483871,12.641935483870967,24.5,1.5,72.3,0.0,72.3,0.0,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
-136.37,59.45,PLEASANT CAMP,1206197,2018-09-01,2018,9,16.333333333333332,2.8333333333333335,9.59,22.0,-4.0,12.0,0.0,12.0,0.0,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
-136.37,59.45,PLEASANT CAMP,1206197,2018-10-01,2018,10,7.951612903225806,0.8387096774193549,4.403225806451613,17.0,-4.0,302.1,0.0,302.1,0.0,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
-136.37,59.45,PLEASANT CAMP,1206197,2018-11-01,2018,11,0.85,-3.4,-1.27,3.0,-10.0,72.3,47.0,119.3,0.0,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
-136.37,59.45,PLEASANT CAMP,1206197,2018-12-01,2018,12,-2.2903225806451615,-7.258064516129032,-4.783870967741936,3.0,-14.0,81.0,179.0,260.0,0.0,0.0,0.0,5957022,Stikine Region (RDA),British Columbia
