Longitude,Latitude,Station Name,Climate ID,Date/Time,Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow Grnd Last Day (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h),GeoUID,Region.Name,provincename
-93.97,48.63,BARWICK,6020559,2018-01-01,2018,1,-8.5,-19.774193548387096,-14.161290322580646,6.5,-38.0,0.0,21.6,21.6,31.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2018-02-01,2018,2,-8.428571428571429,-22.946428571428573,-15.710714285714287,6.5,-35.5,0.0,27.4,27.4,43.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2018-03-01,2018,3,2.661290322580645,-10.338709677419354,-3.8419354838709676,11.0,-22.0,0.0,6.4,6.4,20.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2018-04-01,2018,4,6.633333333333334,-6.3,0.1666666666666666,26.5,-19.5,5.4,10.4,15.8,0.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2018-05-01,2018,5,21.774193548387096,6.0,13.903225806451612,30.5,-4.5,70.7,0.0,70.7,0.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2018-06-01,2018,6,24.116666666666667,11.983333333333333,18.086666666666666,30.5,4.0,98.2,0.0,98.2,0.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2018-07-01,2018,7,26.451612903225808,13.693548387096774,20.103225806451615,31.0,5.0,75.1,0.0,75.1,0.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2018-08-01,2018,8,25.322580645161292,11.85483870967742,18.616129032258065,32.5,5.0,70.60000000000001,0.0,70.60000000000001,0.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2018-09-01,2018,9,18.183333333333334,7.966666666666667,13.096666666666668,31.0,-2.0,106.0,0.0,106.0,0.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2018-10-01,2018,10,6.596774193548387,0.5645161290322581,3.5999999999999996,20.0,-4.0,82.8,7.0,89.8,0.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2018-11-01,2018,11,-3.316666666666667,-8.883333333333333,-6.113333333333333,7.5,-19.5,2.2,18.2,20.4,9.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2018-12-01,2018,12,-3.816666666666667,-12.866666666666667,-8.366666666666667,9.0,-29.5,0.6,29.8,30.4,17.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2019-01-01,2019,1,-11.790322580645162,-22.822580645161292,-17.33225806451613,5.0,-42.0,0.0,17.6,17.6,27.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2019-02-01,2019,2,-10.071428571428571,-21.714285714285715,-15.921428571428573,-1.5,-37.0,0.0,56.199999999999996,56.199999999999996,49.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2019-03-01,2019,3,-0.1774193548387097,-12.161290322580646,-6.180645161290323,11.0,-32.0,12.600000000000001,17.4,30.0,10.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
-93.97,48.63,BARWICK,6020559,2019-04-01,2019,4,9.383333333333333,-1.3166666666666667,4.046666666666667,20.5,-9.0,9.2,18.8,28.0,0.0,0.0,0.0,3559090,"Rainy River, Unorganized (NO)",Ontario
