Longitude,Latitude,Station Name,Climate ID,Date/Time,Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow Grnd Last Day (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h),GeoUID,Region.Name,provincename
-78.73,48.42,MONT BRUN,7085106,2018-01-01,2018,1,-10.743333333333334,-21.838709677419356,-16.21,6.9,-38.9,11.799999999999999,71.4,83.2,53.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2018-02-01,2018,2,-2.1882352941176473,-15.488235294117647,-8.852941176470589,5.1,-33.6,3.2,35.4,38.6,63.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2018-03-01,2018,3,-1.164516129032258,-12.629032258064516,,9.5,-28.5,0.8,35.4,36.2,62.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2018-04-01,2018,4,3.4099999999999997,-9.81,,17.2,-21.7,0.0,36.6,36.6,29.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2018-05-01,2018,5,17.9741935483871,2.4709677419354836,,29.5,-5.3,57.8,0.0,57.8,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2018-06-01,2018,6,21.63,6.63,,30.1,-0.5,52.8,0.0,52.8,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2018-07-01,2018,7,26.112903225806452,12.63225806451613,,31.3,4.3,132.4,0.0,132.4,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2018-08-01,2018,8,23.39032258064516,10.129032258064516,,29.6,0.5,104.0,0.0,104.0,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2018-09-01,2018,9,17.28666666666667,6.123333333333333,,27.1,-4.2,100.8,0.0,100.8,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2018-10-01,2018,10,4.058064516129032,-1.9,,17.9,-7.3,185.4,16.0,201.4,5.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2018-11-01,2018,11,-2.9766666666666666,-9.94,,5.5,-24.7,28.2,42.2,70.4,9.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2018-12-01,2018,12,-6.164516129032258,-15.238709677419354,,1.2,-31.7,10.0,64.6,74.6,20.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-01-01,2019,1,-13.603225806451613,-25.4,,1.6,-42.1,0.0,76.8,76.8,52.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-02-01,2019,2,-9.1,-22.22142857142857,,1.1,-34.7,17.2,108.2,125.4,85.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-03-01,2019,3,-2.306451612903226,-14.906451612903227,,6.0,-29.9,12.4,36.2,48.6,59.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-04-01,2019,4,4.96,-5.21,,14.8,-18.3,96.4,41.8,138.2,10.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-05-01,2019,5,,,,,,0.0,0.0,0.0,,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-06-01,2019,6,20.696666666666665,7.53,,30.0,-1.0,139.0,3.0,142.0,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-07-01,2019,7,25.335483870967742,11.13225806451613,,31.5,3.8,56.8,0.0,56.8,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-08-01,2019,8,21.91290322580645,9.370967741935484,,27.6,2.0,78.0,0.0,78.0,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-09-01,2019,9,15.95,5.9,,25.4,-2.3,95.8,0.0,95.8,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-10-01,2019,10,9.364516129032259,1.0129032258064516,,19.8,-3.7,81.8,7.4,89.2,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-11-01,2019,11,-3.3400000000000003,-10.026666666666667,,2.1,-24.7,7.2,74.2,77.4,33.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2019-12-01,2019,12,-6.364516129032259,-16.29032258064516,,1.0,-30.8,3.6,68.8,72.4,46.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-01-01,2020,1,-6.719354838709677,-16.67096774193548,,1.5,-33.6,5.4,60.4,65.8,60.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-02-01,2020,2,-6.289655172413793,-17.817241379310342,,5.6,-37.8,0.0,53.800000000000004,53.800000000000004,73.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-03-01,2020,3,1.4774193548387096,-12.36774193548387,,13.7,-27.5,25.0,35.800000000000004,60.800000000000004,64.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-04-01,2020,4,6.213333333333334,-5.95,,15.2,-18.5,9.2,10.399999999999999,19.6,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-05-01,2020,5,14.23225806451613,1.3870967741935485,,30.9,-9.4,28.8,3.2,32.0,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-06-01,2020,6,21.783333333333335,8.313333333333334,,31.5,-1.8,64.8,0.0,64.8,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-07-01,2020,7,25.70967741935484,13.364516129032259,,32.6,7.5,122.0,0.0,122.0,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-08-01,2020,8,21.80322580645161,9.603225806451613,,29.2,0.3,60.800000000000004,0.0,60.800000000000004,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-09-01,2020,9,15.993333333333334,5.1866666666666665,,22.4,-4.0,152.0,0.0,152.0,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-10-01,2020,10,6.164516129032258,-2.158064516129032,,13.4,-16.4,115.8,22.8,138.6,1.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-11-01,2020,11,3.1533333333333333,-4.41,,18.6,-18.4,24.599999999999998,29.4,49.0,2.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2020-12-01,2020,12,-5.754838709677419,-14.125806451612902,,3.7,-35.0,4.2,86.8,91.0,44.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2021-01-01,2021,1,-6.767741935483872,-14.374193548387098,,0.5,-28.9,0.0,30.8,30.8,47.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2021-02-01,2021,2,-5.982142857142857,-21.107142857142858,,3.4,-31.9,0.0,29.8,29.8,45.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2021-03-01,2021,3,1.729032258064516,-11.283870967741937,,14.4,-28.0,27.2,27.6,54.8,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2021-04-01,2021,4,11.2,-2.09,,24.7,-13.8,13.2,4.8,18.0,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2021-05-01,2021,5,16.932258064516127,2.4129032258064513,,29.1,-7.2,52.800000000000004,0.0,52.800000000000004,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2021-06-01,2021,6,22.026666666666664,9.496666666666666,,31.3,1.0,140.0,0.0,140.0,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2021-07-01,2021,7,22.748387096774195,9.935483870967742,,28.6,2.3,108.6,0.0,108.6,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2021-08-01,2021,8,24.532258064516128,12.351612903225806,,31.6,3.5,40.0,0.0,40.0,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2021-09-01,2021,9,16.266666666666666,6.993333333333334,,24.2,0.9,139.0,0.0,139.0,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
-78.73,48.42,MONT BRUN,7085106,2021-10-01,2021,10,13.600000000000001,3.9225806451612906,,24.6,-3.0,71.2,0.0,71.2,0.0,0.0,0.0,2486042,Rouyn-Noranda (V),Quebec
