Longitude,Latitude,Station Name,Climate ID,Date/Time,Year,Month,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow Grnd Last Day (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h),GeoUID,Region.Name,provincename
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-01-01,2018,1,-1.7322580645161292,-12.870967741935484,-7.319354838709677,9.3,-29.0,0.0,0.0,15.7,8.0,28.0,69.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-02-01,2018,2,-9.615384615384615,-20.737037037037037,-15.184615384615386,8.0,-28.9,0.0,0.0,35.6,24.0,25.0,63.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-03-01,2018,3,-0.9741935483870967,-9.009677419354839,-5.012903225806451,5.4,-20.3,0.0,0.0,47.4,46.0,12.0,59.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-04-01,2018,4,4.916666666666667,-4.996666666666667,-0.029999999999999864,23.9,-22.1,0.0,0.0,13.8,,25.0,74.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-05-01,2018,5,19.4741935483871,7.070967741935483,13.290322580645162,27.2,0.0,0.0,0.0,34.0,,17.0,52.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-06-01,2018,6,20.13448275862069,8.43,14.33448275862069,28.5,1.1,0.0,0.0,71.7,,25.0,57.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-07-01,2018,7,24.051612903225806,10.661290322580646,17.364516129032257,32.2,3.8,0.0,0.0,40.0,,23.0,56.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-08-01,2018,8,24.12258064516129,10.63225806451613,17.39032258064516,36.1,0.6,0.0,0.0,38.5,,32.0,44.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-09-01,2018,9,13.16,3.0300000000000002,8.1,25.0,-7.3,0.0,0.0,36.0,,29.0,51.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-10-01,2018,10,9.203448275862069,-1.1172413793103448,4.037931034482759,19.2,-8.1,0.0,0.0,32.4,,35.0,61.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-11-01,2018,11,0.9793103448275863,-7.613793103448276,-3.310344827586207,9.4,-20.7,0.0,0.0,43.7,4.0,30.0,65.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2018-12-01,2018,12,-0.8999999999999999,-9.083870967741936,-4.983870967741935,6.8,-22.9,0.0,0.0,32.9,19.0,31.0,68.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2019-01-01,2019,1,-0.0225806451612903,-9.941935483870967,-4.983870967741935,9.3,-22.4,0.0,0.0,30.4,20.0,32.0,66.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2019-02-01,2019,2,-16.40357142857143,-24.939285714285713,-20.678571428571427,4.6,-31.4,0.0,0.0,19.7,40.0,33.0,59.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
-109.51,49.64,CYPRESS HILLS PARK,4031999,2019-03-01,2019,3,-0.0451612903225806,-9.496774193548386,-4.767741935483872,12.9,-32.0,0.0,0.0,7.1000000000000005,1.0,33.0,54.0,4704045,Maple Creek No. 111 (RM),Saskatchewan
