"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-01","2018","01","01","","-18.1","","-28.1","","-23.1","","41.1","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-02","2018","01","02","","-20.5","","-32.9","","-26.7","","44.7","","0.0","","0.0","","0.7","","0.7","","33","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-03","2018","01","03","","-10.8","","-29.8","","-20.3","","38.3","","0.0","","0.0","","6.2","","6.2","","34","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-04","2018","01","04","","-6.5","","-15.4","","-11.0","","29.0","","0.0","","0.0","","4.8","","4.8","","39","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-05","2018","01","05","","-17.9","","-20.1","","-19.0","","37.0","","0.0","","0.0","","0.0","T","0.0","T","43","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-06","2018","01","06","","-19.0","","-23.0","","-21.0","","39.0","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-07","2018","01","07","","-16.1","","-31.9","","-24.0","","42.0","","0.0","","0.0","","8.2","","8.2","","42","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-08","2018","01","08","","-7.6","","-21.2","","-14.4","","32.4","","0.0","","0.0","","11.6","","11.6","","48","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-09","2018","01","09","","-5.4","","-14.6","","-10.0","","28.0","","0.0","","0.0","","0.2","","0.2","","56","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-10","2018","01","10","","-3.5","","-23.4","","-13.5","","31.5","","0.0","","0.7","","0.0","","0.7","","56","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-11","2018","01","11","","6.0","","-10.2","","-2.1","","20.1","","0.0","","10.7","","0.0","","10.7","","55","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-12","2018","01","12","","8.8","","-1.5","","3.7","","14.3","","0.0","","16.0","","16.0","","32.0","","45","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-13","2018","01","13","","-15.9","","-18.5","","-17.2","","35.2","","0.0","","0.0","","11.0","","11.0","","59","","","","",""
"-72.40","46.87","LAC AUX SABLES","701LEEH","2018-01-14","2018","01","14","","-17.1","","-31.2","","-24.2","","42.2","","0.0","","0.0","","0.0","","0.0","","66","","","","",""
