"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-103.75","51.26","KELLIHER","4013660","2022-01-01","2022","01","01","†","-22.5","","-37.5","","-30.0","","48.0","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-02","2022","01","02","†","-10.5","","-33.0","","-21.8","","39.8","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-03","2022","01","03","†","-18.0","","-22.0","","-20.0","","38.0","","0.0","","0.0","","6.0","","6.0","","33","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-04","2022","01","04","†","-21.0","","-22.0","","-21.5","","39.5","","0.0","","0.0","","4.0","","4.0","","38","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-05","2022","01","05","†","-28.5","","-31.0","","-29.8","","47.8","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-06","2022","01","06","†","-28.0","","-38.0","","-33.0","","51.0","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-07","2022","01","07","†","-19.5","","-37.0","","-28.3","","46.3","","0.0","","0.0","","3.0","","3.0","","41","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-08","2022","01","08","†","-23.5","","-28.0","","-25.8","","43.8","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-09","2022","01","09","†","-20.0","","-34.0","","-27.0","","45.0","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-10","2022","01","10","†","-6.5","","-30.0","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-11","2022","01","11","†","0.0","","-17.0","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-12","2022","01","12","†","0.5","","-5.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-13","2022","01","13","†","-3.5","","-6.0","","-4.8","","22.8","","0.0","","0.0","","9.0","","9.0","","44","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-14","2022","01","14","†","-7.0","","-13.0","","-10.0","","28.0","","0.0","","0.0","","0.0","T","0.0","T","51","","","","",""
"-103.75","51.26","KELLIHER","4013660","2022-01-15","2022","01","15","†","1.5","","-15.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
