"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.20","51.77","WYNYARD (AUT)","40190LN","2020-01-01","2020","01","01","","-0.9","","-8.5","","-4.7","","22.7","","0.0","","","","","","0.2","","","","22","","33",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2020-01-02","2020","01","02","","-2.7","","-5.3","","-4.0","","22.0","","0.0","","","","","","0.3","","","","","","",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2020-01-03","2020","01","03","","-3.7","","-10.0","","-6.8","","24.8","","0.0","","","","","","0.0","","","","26","","31",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2020-01-04","2020","01","04","","3.1","","-8.4","","-2.7","","20.7","","0.0","","","","","","0.3","","","","29","","47",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2020-01-05","2020","01","05","","-4.0","","-11.5","","-7.8","","25.8","","0.0","","","","","","0.2","","","","27","","41",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2020-01-06","2020","01","06","","-3.3","","-19.9","","-11.6","","29.6","","0.0","","","","","","0.0","","","","29","","51",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2020-01-07","2020","01","07","","-19.6","","-28.6","","-24.1","","42.1","","0.0","","","","","","0.2","","","","","","",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2020-01-08","2020","01","08","","-13.2","","-25.0","","-19.1","","37.1","","0.0","","","","","","2.0","","","","13","","70",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2020-01-09","2020","01","09","","-13.5","","-26.3","","-19.9","","37.9","","0.0","","","","","","0.7","","","","","","",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2020-01-10","2020","01","10","","-21.6","","-29.2","","-25.4","","43.4","","0.0","","","","","","0.2","","","","18","","42",""
"-104.20","51.77","WYNYARD (AUT)","40190LN","2020-01-11","2020","01","11","","-12.9","","-22.1","","-17.5","","35.5","","0.0","","","","","","1.3","","","","13","","41",""
