"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-103.80","49.70","WEYBURN","401HP5R","2020-01-01","2020","01","01","","-1.1","","-6.6","","-3.9","","21.9","","0.0","","","","","","0.0","","","","33","","39",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-02","2020","01","02","","-2.0","","-4.6","","-3.3","","21.3","","0.0","","","","","","0.3","","0","","33","","38",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-03","2020","01","03","","-3.7","","-15.5","","-9.6","","27.6","","0.0","","","","","","0.2","","2","","30","","34",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-04","2020","01","04","","5.3","","-7.3","","-1.0","","19.0","","0.0","","","","","","0.0","","2","","33","","76",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-05","2020","01","05","","-0.1","","-12.5","","-6.3","","24.3","","0.0","","","","","","0.0","","2","","33","","69",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-06","2020","01","06","","-1.3","","-13.6","","-7.5","","25.5","","0.0","","","","","","0.0","","2","","32","","55",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-07","2020","01","07","","-13.6","","-24.2","","-18.9","","36.9","","0.0","","","","","","0.0","","2","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-08","2020","01","08","","-9.3","","-20.0","","-14.6","","32.6","","0.0","","","","","","0.2","","2","","16","","64",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-09","2020","01","09","","-8.4","","-23.7","","-16.0","","34.0","","0.0","","","","","","0.2","","2","","33","","62",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-10","2020","01","10","","-19.1","","-27.8","","-23.5","","41.5","","0.0","","","","","","0.0","","2","","14","","34",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-11","2020","01","11","","-11.2","","-21.2","","-16.2","","34.2","","0.0","","","","","","0.2","","2","","15","","52",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-12","2020","01","12","","-11.0","","-21.7","","-16.3","","34.3","","0.0","","","","","","1.6","","2","","34","","40",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-13","2020","01","13","","-21.6","","-28.1","","-24.9","","42.9","","0.0","","","","","","0.4","","2","","32","","38",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-14","2020","01","14","","-25.2","","-31.3","","-28.2","","46.2","","0.0","","","","","","0.5","","2","","35","","31",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-15","2020","01","15","","-26.7","","-33.0","","-29.8","","47.8","","0.0","","","","","","0.2","","2","","32","","34",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-16","2020","01","16","","-21.4","","-35.7","","-28.5","","46.5","","0.0","","","","","","0.0","","3","","15","","54",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-17","2020","01","17","","-18.6","","-23.2","","-20.9","","38.9","","0.0","","","","","","0.0","","3","","32","","61",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-18","2020","01","18","","-21.4","","-26.1","","-23.8","","41.8","","0.0","","","","","","0.0","","4","","33","","61",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-19","2020","01","19","","-19.0","","-27.7","","-23.3","","41.3","","0.0","","","","","","0.0","","3","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-20","2020","01","20","","-5.3","","-23.8","","-14.5","","32.5","","0.0","","","","","","0.0","","3","","18","","36",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-21","2020","01","21","","3.5","","-12.1","","-4.3","","22.3","","0.0","","","","","","0.0","","3","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-22","2020","01","22","","-2.9","","-14.5","","-8.7","","26.7","","0.0","","","","","","0.0","","3","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-23","2020","01","23","","-3.7","","-8.8","","-6.3","","24.3","","0.0","","","","","","0.0","","2","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-24","2020","01","24","","-4.5","","-8.3","","-6.4","","24.4","","0.0","","","","","","0.0","","3","","16","","31",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-25","2020","01","25","","3.1","","-7.5","","-2.2","","20.2","","0.0","","","","","","0.0","","3","","32","","32",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-26","2020","01","26","","-2.2","","-6.0","","-4.1","","22.1","","0.0","","","","","","0.2","","3","","33","","31",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-27","2020","01","27","","-2.1","","-5.9","","-4.0","","22.0","","0.0","","","","","","0.0","","3","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-28","2020","01","28","","-1.1","","-3.9","","-2.5","","20.5","","0.0","","","","","","0.0","","3","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-29","2020","01","29","","-1.9","","-4.9","","-3.4","","21.4","","0.0","","","","","","0.2","","2","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-30","2020","01","30","","-3.6","","-14.8","","-9.2","","27.2","","0.0","","","","","","1.8","","1","","34","","40",""
"-103.80","49.70","WEYBURN","401HP5R","2020-01-31","2020","01","31","","2.6","","-17.3","","-7.4","","25.4","","0.0","","","","","","0.0","","","","33","","40",""
"-103.80","49.70","WEYBURN","401HP5R","2020-02-01","2020","02","01","","8.6","","-6.5","","1.0","","17.0","","0.0","","","","","","0.0","","3","","32","","64",""
"-103.80","49.70","WEYBURN","401HP5R","2020-02-02","2020","02","02","","2.0","","-9.7","","-3.9","","21.9","","0.0","","","","","","0.0","","3","","30","","61",""
"-103.80","49.70","WEYBURN","401HP5R","2020-02-03","2020","02","03","","-8.5","","-17.5","","-13.0","","31.0","","0.0","","","","","","0.0","","3","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-02-04","2020","02","04","","-4.7","","-19.3","","-12.0","","30.0","","0.0","","","","","","0.0","","2","","22","","40",""
"-103.80","49.70","WEYBURN","401HP5R","2020-02-05","2020","02","05","","-3.3","","-14.5","","-8.9","","26.9","","0.0","","","","","","0.2","","2","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-02-06","2020","02","06","","-6.1","","-14.9","","-10.5","","28.5","","0.0","","","","","","0.4","","3","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-02-07","2020","02","07","","-1.9","","-17.3","","-9.6","","27.6","","0.0","","","","","","0.0","","3","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2020-02-08","2020","02","08","","-2.2","","-9.0","","-5.6","","23.6","","0.0","","","","","","0.0","","","","34","","32",""
