"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-103.80","49.70","WEYBURN","401HP5R","2023-01-01","2023","01","01","","-9.7","","-18.9","","-14.3","","32.3","","0.0","","","","","","0.0","","23","","32","","34",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-02","2023","01","02","","-6.9","","-16.1","","-11.5","","29.5","","0.0","","","","","","0.0","","23","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-03","2023","01","03","","-12.8","","-19.3","","-16.1","","34.1","","0.0","","","","","","0.0","","23","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-04","2023","01","04","","-13.9","","-20.0","","-16.9","","34.9","","0.0","","","","","","0.0","","23","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-05","2023","01","05","","-11.1","","-20.5","","-15.8","","33.8","","0.0","","","","","","0.1","","23","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-06","2023","01","06","","-14.6","","-19.3","","-17.0","","35.0","","0.0","","","","","","0.0","","23","","17","","32",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-07","2023","01","07","","-3.0","","-18.3","","-10.7","","28.7","","0.0","","","","","","0.0","","24","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-08","2023","01","08","","-7.0","","-18.2","","-12.6","","30.6","","0.0","","","","","","0.0","","24","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-09","2023","01","09","","0.2","","-13.5","","-6.7","","24.7","","0.0","","","","","","0.0","","24","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-10","2023","01","10","","-5.4","","-13.8","","-9.6","","27.6","","0.0","","","","","","0.0","","24","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-11","2023","01","11","","-9.7","","-15.6","","-12.6","","30.6","","0.0","","","","","","0.0","","24","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-12","2023","01","12","","-11.2","","-18.1","","-14.6","","32.6","","0.0","","","","","","0.0","","24","","16","","31",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-13","2023","01","13","","-2.5","","-13.2","","-7.8","","25.8","","0.0","","","","","","0.0","","22","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2023-01-14","2023","01","14","","-1.3","","-9.4","","-5.3","","23.3","","0.0","","","","","","0.9","","23","","","","",""
