"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-01","2020","01","01","","1.0","","-5.4","","-2.2","","20.2","","0.0","","","","","","0.3","","","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-02","2020","01","02","","-1.9","","-11.9","","-6.9","","24.9","","0.0","","","","","","1.5","","","","33","","73",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-03","2020","01","03","","-3.8","","-15.0","","-9.4","","27.4","","0.0","","","","","","0.0","","","","29","","32",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-04","2020","01","04","","5.3","","-5.5","","-0.1","","18.1","","0.0","","","","","","0.0","","0","","26","","64",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-05","2020","01","05","","0.8","","-9.5","","-4.3","","22.3","","0.0","","","","","","0.0","","","","28","","43",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-06","2020","01","06","","-0.2","","-13.5","","-6.9","","24.9","","0.0","","","","","","0.0","","","","32","","49",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-07","2020","01","07","","-8.3","","-15.5","","-11.9","","29.9","","0.0","","","","","","0.3","","","","12","","57",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-08","2020","01","08","","-1.1","","-15.0","","-8.0","","26.0","","0.0","","","","","","0.2","","","","13","","58",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-09","2020","01","09","","-14.2","","-22.9","","-18.5","","36.5","","0.0","","","","","","0.0","","","","31","","46",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-10","2020","01","10","","-7.7","","-26.9","","-17.3","","35.3","","0.0","","","","","","0.0","","","","17","","41",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-11","2020","01","11","","-6.8","","-15.5","","-11.2","","29.2","","0.0","","","","","","0.2","","","","15","","36",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-12","2020","01","12","","-15.4","","-27.3","","-21.3","","39.3","","0.0","","","","","","0.7","","","","34","","41",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-13","2020","01","13","","-24.2","","-29.7","","-27.0","","45.0","","0.0","","","","","","2.3","","","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-14","2020","01","14","","-27.8","","-36.7","","-32.2","","50.2","","0.0","","","","","","0.4","","2","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-15","2020","01","15","","-26.6","","-34.6","","-30.6","","48.6","","0.0","","","","","","0.2","","3","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-16","2020","01","16","","-20.3","","-34.2","","-27.2","","45.2","","0.0","","","","","","0.3","","3","","9","","47",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-17","2020","01","17","","-20.4","","-26.5","","-23.5","","41.5","","0.0","","","","","","1.1","","1","","29","","41",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-18","2020","01","18","","-23.9","","-29.2","","-26.5","","44.5","","0.0","","","","","","0.0","","6","","30","","40",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-19","2020","01","19","","-16.9","","-29.0","","-22.9","","40.9","","0.0","","","","","","0.0","","6","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-20","2020","01","20","","3.7","","-18.2","","-7.2","","25.2","","0.0","","","","","","0.0","","5","","25","","45",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-21","2020","01","21","","2.1","","-13.2","","-5.6","","23.6","","0.0","","","","","","0.0","","5","","25","","33",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-22","2020","01","22","","1.1","","-10.4","","-4.6","","22.6","","0.0","","","","","","0.0","","5","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-23","2020","01","23","","-1.0","","-17.1","","-9.1","","27.1","","0.0","","","","","","0.0","","4","","17","","33",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-24","2020","01","24","","3.5","","-9.8","","-3.1","","21.1","","0.0","","","","","","0.0","","5","","21","","31",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-25","2020","01","25","","1.6","","-2.4","","-0.4","","18.4","","0.0","","","","","","1.3","","5","","29","","38",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-26","2020","01","26","","0.6","","-2.2","","-0.8","","18.8","","0.0","","","","","","0.3","","","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-27","2020","01","27","","-1.8","","-9.5","","-5.7","","23.7","","0.0","","","","","","0.0","","4","","12","","31",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-28","2020","01","28","","-4.7","","-14.5","","-9.6","","27.6","","0.0","","","","","","0.2","","4","","","","",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-29","2020","01","29","","2.4","","-16.7","","-7.2","","25.2","","0.0","","","","","","0.2","","4","","19","","39",""
"-109.50","50.91","LEADER AIRPORT","402DAF0","2020-01-30","2020","01","30","","3.0","","-6.0","","-1.5","","19.5","","0.0","","","","","","0.0","","4","","32","","54",""
