"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-01","2022","01","01","","-21.6","","-33.6","","-27.6","","45.6","","0.0","","","","","","0.2","","1","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-02","2022","01","02","","-1.0","","-24.4","","-12.7","","30.7","","0.0","","","","","","0.0","","1","","26","","51",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-03","2022","01","03","","-4.8","","-18.2","","-11.5","","29.5","","0.0","","","","","","0.0","","0","","10","","31",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-04","2022","01","04","","-16.9","","-25.3","","-21.1","","39.1","","0.0","","","","","","0.7","","1","","28","","56",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-05","2022","01","05","","-25.3","","-31.5","","-28.4","","46.4","","0.0","","","","","","0.2","","2","","31","","45",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-06","2022","01","06","","-23.6","","-36.3","","-29.9","","47.9","","0.0","","","","","","0.2","","2","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-07","2022","01","07","","-8.0","","-24.3","","-16.1","","34.1","","0.0","","","","","","0.2","","2","","31","","43",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-08","2022","01","08","","-11.6","","-26.5","","-19.0","","37.0","","0.0","","","","","","0.2","","","","26","","71",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-09","2022","01","09","","-17.3","","-31.7","","-24.5","","42.5","","0.0","","","","","","0.2","","","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-10","2022","01","10","","0.1","","-22.4","","-11.1","","29.1","","0.0","","","","","","0.0","","","","26","","61",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-11","2022","01","11","","3.4","","-2.0","","0.7","","17.3","","0.0","","","","","","0.0","","","","24","","66",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-12","2022","01","12","","3.6","","-6.7","","-1.6","","19.6","","0.0","","","","","","0.0","","","","24","","40",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-13","2022","01","13","","1.4","","-10.4","","-4.5","","22.5","","0.0","","","","","","0.0","","","","31","","63",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-14","2022","01","14","","-2.8","","-4.4","","-3.6","","21.6","","0.0","","","","","","0.0","","","","34","","72",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-15","2022","01","15","","3.7","","-8.4","","-2.4","","20.4","","0.0","","","","","","0.0","","","","25","","50",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-16","2022","01","16","","2.6","","-4.2","","-0.8","","18.8","","0.0","","","","","","0.0","","","","28","","42",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-17","2022","01","17","","5.3","","-9.0","","-1.9","","19.9","","0.0","","","","","","0.0","","","","25","","50",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-18","2022","01","18","","2.9","","-24.7","","-10.9","","28.9","","0.0","","","","","","0.0","","","","28","","73",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-19","2022","01","19","","-17.6","","-28.4","","-23.0","","41.0","","0.0","","","","","","0.0","","","","29","","39",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-20","2022","01","20","","-1.2","","-26.2","","-13.7","","31.7","","0.0","","","","","","0.0","","","","19","","38",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-21","2022","01","21","","1.7","","-12.4","","-5.3","","23.3","","0.0","","","","","","0.0","","","","29","","76",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-22","2022","01","22","","2.9","","-11.9","","-4.5","","22.5","","0.0","","","","","","0.8","","","","27","","55",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-23","2022","01","23","","5.3","","-7.3","","-1.0","","19.0","","0.0","","","","","","1.8","","","","29","","53",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-24","2022","01","24","","-4.2","","-19.5","","-11.9","","29.9","","0.0","","","","","","0.2","","","","33","","32",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-25","2022","01","25","","-4.9","","-26.6","","-15.8","","33.8","","0.0","","","","","","0.2","","","","21","","48",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-26","2022","01","26","","0.5","","-5.4","","-2.5","","20.5","","0.0","","","","","","0.2","","","","28","","65",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-27","2022","01","27","","-1.1","","-9.5","","-5.3","","23.3","","0.0","","","","","","0.0","","","","35","","47",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-28","2022","01","28","","0.6","","-13.9","","-6.7","","24.7","","0.0","","","","","","0.2","","","","28","","35",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-29","2022","01","29","","2.4","","-8.3","","-3.0","","21.0","","0.0","","","","","","0.0","","","","28","","33",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-30","2022","01","30","","3.3","","-5.4","","-1.0","","19.0","","0.0","","","","","","0.0","","","","30","","35",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-01-31","2022","01","31","","6.0","","-16.4","","-5.2","","23.2","","0.0","","","","","","0.0","","","","29","","89",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-01","2022","02","01","","-16.3","","-24.0","","-20.2","","38.2","","0.0","","","","","","0.2","","","","25","","72",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-02","2022","02","02","","-18.4","","-25.5","","-22.0","","40.0","","0.0","","","","","","0.0","","","","29","","31",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-03","2022","02","03","","-9.3","","-24.5","","-16.9","","34.9","","0.0","","","","","","0.0","","","","32","","49",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-04","2022","02","04","","-3.1","","-26.8","","-15.0","","33.0","","0.0","","","","","","0.0","","","","17","","39",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-05","2022","02","05","","3.8","","-6.6","","-1.4","","19.4","","0.0","","","","","","0.4","","","","28","","64",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-06","2022","02","06","","3.8","","-9.7","","-2.9","","20.9","","0.0","","","","","","0.0","","","","25","","40",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-07","2022","02","07","","8.8","","-5.3","","1.8","","16.2","","0.0","","","","","","0.0","","","","29","","61",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-08","2022","02","08","","5.2","","-2.0","","1.6","","16.4","","0.0","","","","","","0.0","","","","30","","61",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-09","2022","02","09","","3.2","","-5.8","","-1.3","","19.3","","0.0","","","","","","0.0","","","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-10","2022","02","10","","8.2","","-3.5","","2.4","","15.6","","0.0","","","","","","0.0","","","","28","","65",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-11","2022","02","11","","-3.5","","-15.5","","-9.5","","27.5","","0.0","","","","","","0.4","","","","34","","54",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-12","2022","02","12","","-2.7","","-14.4","","-8.6","","26.6","","0.0","","","","","","0.0","","","","30","","34",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-13","2022","02","13","","5.9","","-12.5","","-3.3","","21.3","","0.0","","","","","","0.0","","","","29","","63",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-14","2022","02","14","","-6.4","","-13.8","","-10.1","","28.1","","0.0","","","","","","0.0","","","","11","","38",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-15","2022","02","15","","-3.9","","-11.5","","-7.7","","25.7","","0.0","","","","","","0.0","","","","30","","45",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-16","2022","02","16","","-7.8","","-17.8","","-12.8","","30.8","","0.0","","","","","","0.4","","","","30","","46",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-17","2022","02","17","","2.5","","-16.6","","-7.0","","25.0","","0.0","","","","","","0.7","","","","26","","63",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-18","2022","02","18","","2.0","","-18.3","","-8.2","","26.2","","0.0","","","","","","0.2","","","","31","","60",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-19","2022","02","19","","8.8","","-14.0","","-2.6","","20.6","","0.0","","","","","","0.6","","","","24","","55",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-20","2022","02","20","","0.2","","-20.9","","-10.3","","28.3","","0.0","","","","","","3.8","","","","35","","50",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-21","2022","02","21","","-20.7","","-30.9","","-25.8","","43.8","","0.0","","","","","","0.2","","2","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-22","2022","02","22","","-21.0","","-33.4","","-27.2","","45.2","","0.0","","","","","","0.0","","2","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-23","2022","02","23","","-17.8","","-33.9","","-25.8","","43.8","","0.0","","","","","","0.0","","1","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-24","2022","02","24","","-16.1","","-29.9","","-23.0","","41.0","","0.0","","","","","","0.0","","2","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-25","2022","02","25","","-7.0","","-30.5","","-18.7","","36.7","","0.0","","","","","","0.2","","2","","25","","36",""
"-105.48","49.05","CORONACH SPC","40318MN","2022-02-26","2022","02","26","","-1.5","","-13.2","","-7.3","","25.3","","0.0","","","","","","0.0","","2","","26","","41",""
