"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-01","2020","01","01","","0.6","","-3.8","","-1.6","","19.6","","0.0","","","","","","0.2","","17","","32","","35",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-02","2020","01","02","","0.0","","-7.3","","-3.6","","21.6","","0.0","","","","","","3.0","","18","","34","","53",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-03","2020","01","03","","-4.7","","-12.0","","-8.4","","26.4","","0.0","","","","","","0.0","","17","","29","","39",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-04","2020","01","04","","5.1","","-6.9","","-0.9","","18.9","","0.0","","","","","","0.0","","17","","26","","80",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-05","2020","01","05","","-0.5","","-9.5","","-5.0","","23.0","","0.0","","","","","","0.0","","16","","31","","57",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-06","2020","01","06","","-3.4","","-10.1","","-6.8","","24.8","","0.0","","","","","","0.0","","16","","32","","60",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-07","2020","01","07","","-8.4","","-14.1","","-11.3","","29.3","","0.0","","","","","","0.0","","16","","15","","34",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-08","2020","01","08","","-3.9","","-14.1","","-9.0","","27.0","","0.0","","","","","","0.0","","16","","31","","55",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-09","2020","01","09","","-11.0","","-23.0","","-17.0","","35.0","","0.0","","","","","","0.1","","16","","32","","57",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-10","2020","01","10","","-15.6","","-27.2","","-21.4","","39.4","","0.0","","","","","","0.0","","16","","17","","39",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-11","2020","01","11","","-7.0","","-15.6","","-11.3","","29.3","","0.0","","","","","","0.1","","16","","16","","38",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-12","2020","01","12","","-8.9","","-23.5","","-16.2","","34.2","","0.0","","","","","","0.3","","16","","31","","46",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-13","2020","01","13","","-23.4","","-29.2","","-26.3","","44.3","","0.0","","","","","","1.3","","17","","","","",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-14","2020","01","14","","-25.6","","-29.3","","-27.4","","45.4","","0.0","","","","","","0.5","","17","","","","",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-15","2020","01","15","","-24.6","","-31.7","","-28.1","","46.1","","0.0","","","","","","0.2","","18","","","","",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-16","2020","01","16","","-19.7","","-31.2","","-25.5","","43.5","","0.0","","","","","","0.0","","18","","14","","51",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-17","2020","01","17","","-19.7","","-26.2","","-22.9","","40.9","","0.0","","","","","","0.0","","16","","33","","55",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-18","2020","01","18","","-24.3","","-27.4","","-25.8","","43.8","","0.0","","","","","","0.0","","16","","33","","66",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-19","2020","01","19","","-19.1","","-27.6","","-23.3","","41.3","","0.0","","","","","","0.0","","16","","19","","31",""
"-105.98","49.17","ROCKGLEN (AUT)","4036844","2020-01-20","2020","01","20","","0.0","","-21.1","","-10.6","","28.6","","0.0","","","","","","0.0","","16","","20","","40",""
