"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-01","2021","01","01","","-5.8","","-14.7","","-10.2","","28.2","","0.0","","","","","","0.0","","20","","24","","34",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-02","2021","01","02","","-3.9","","-12.6","","-8.3","","26.3","","0.0","","","","","","0.0","","20","","11","","31",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-03","2021","01","03","","2.5","","-13.2","","-5.3","","23.3","","0.0","","","","","","0.0","","20","","27","","31",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-04","2021","01","04","","-2.0","","-12.9","","-7.4","","25.4","","0.0","","","","","","0.0","","20","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-05","2021","01","05","","-2.4","","-14.0","","-8.2","","26.2","","0.0","","","","","","1.7","","20","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-06","2021","01","06","","-3.4","","-12.6","","-8.0","","26.0","","0.0","","","","","","0.0","","22","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-07","2021","01","07","","-1.1","","-11.1","","-6.1","","24.1","","0.0","","","","","","0.0","","22","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-08","2021","01","08","","-5.2","","-19.9","","-12.6","","30.6","","0.0","","","","","","0.0","","22","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-09","2021","01","09","","-7.6","","-20.5","","-14.0","","32.0","","0.0","","","","","","0.0","","22","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-10","2021","01","10","","-9.3","","-21.3","","-15.3","","33.3","","0.0","","","","","","0.0","","22","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-11","2021","01","11","","0.0","","-16.1","","-8.1","","26.1","","0.0","","","","","","0.0","","22","","26","","42",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-12","2021","01","12","","0.6","","-12.0","","-5.7","","23.7","","0.0","","","","","","0.0","","22","","24","","36",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-13","2021","01","13","","1.2","","-16.1","","-7.5","","25.5","","0.0","","","","","","8.0","","22","","35","","62",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-14","2021","01","14","","-1.6","","-16.0","","-8.8","","26.8","","0.0","","","","","","0.0","","25","","30","","49",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-15","2021","01","15","","-4.4","","-21.8","","-13.1","","31.1","","0.0","","","","","","0.0","","24","","24","","35",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2021-01-16","2021","01","16","","2.0","","-6.4","","-2.2","","20.2","","0.0","","","","","","0.0","","25","","28","","40",""
