"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-01","2022","01","01","","-28.3","","-39.6","","-34.0","","52.0","","0.0","","","","","","0.0","","42","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-02","2022","01","02","","-26.9","","-30.8","","-28.8","","46.8","","0.0","","","","","","0.0","","42","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-03","2022","01","03","","-29.8","","-37.2","","-33.5","","51.5","","0.0","","","","","","0.0","","42","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-04","2022","01","04","","-29.9","","-34.7","","-32.3","","50.3","","0.0","","","","","","0.0","","42","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-05","2022","01","05","","-29.9","","-35.8","","-32.8","","50.8","","0.0","","","","","","0.0","","42","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-06","2022","01","06","","-25.1","","-42.4","","-33.7","","51.7","","0.0","","","","","","0.0","","42","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-07","2022","01","07","","-25.0","","-31.3","","-28.1","","46.1","","0.0","","","","","","0.1","","42","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-08","2022","01","08","","-28.9","","-36.5","","-32.7","","50.7","","0.0","","","","","","0.0","","41","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-09","2022","01","09","","-29.4","","-39.1","","-34.3","","52.3","","0.0","","","","","","0.0","","42","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-10","2022","01","10","","-21.6","","-36.7","","-29.1","","47.1","","0.0","","","","","","1.9","","42","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-11","2022","01","11","","-21.6","","-35.4","","-28.5","","46.5","","0.0","","","","","","0.0","","41","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-12","2022","01","12","","-18.1","","-28.1","","-23.1","","41.1","","0.0","","","","","","0.8","","46","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-13","2022","01","13","","-16.9","","-25.6","","-21.2","","39.2","","0.0","","","","","","0.0","","47","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-14","2022","01","14","","-8.1","","-18.7","","-13.4","","31.4","","0.0","","","","","","0.0","","46","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-15","2022","01","15","","-9.2","","-23.7","","-16.5","","34.5","","0.0","","","","","","0.0","","45","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-16","2022","01","16","","-20.2","","-26.5","","-23.4","","41.4","","0.0","","","","","","1.2","","46","","","","",""
"-108.48","59.57","URANIUM CITY (AUT)","406QLD0","2022-01-17","2022","01","17","","-24.2","","-28.2","","-26.2","","44.2","","0.0","","","","","","1.1","","47","","","","",""
